発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1989-08-10,30,2,ETC,ナグザット,ブレイクイン,"￥5,500","￥5,500代",0,1
1989-08-25,-,2,RAC,NECアベニュー,F1ドリーム,"￥5,400","￥5,500代",0,1
1989-08-25,-,4,SHT,ビッグクラブ,ロックオン,"￥6,700","￥6,500代",0,1
1989-09-01,-,4,ACT,データイースト,ならずもの戦闘部隊ブラッディウルフ,"￥6,500","￥6,500代",0,1
1989-09-08,-,4,SHT,ナムコ,オーダイン,"￥6,800","￥7,000代",0,1
1989-09-15,-,3,ETC,ハドソン,スーパー桃太郎電鉄(Vol.21),"￥5,800","￥6,000代",0,1
1989-09-22,-,4,ACT,NECアベニュー,獣王記,"￥5,800","￥6,000代",0,1
1989-09-29,-,2,ETC,NEC-HE,アーティストツール,"￥5,800","￥6,000代",0,1
1989-09-29,-,2,RPG,メサイヤ,ダブルダンジョン,"￥5,500","￥5,500代",0,1
1989-10-13,-,2,SPT,ナグザット,デジタルチャンプバトルボクシング,"￥5,800","￥6,000代",0,1
1989-10-20,-,3,ACT,トンキンハウス,竜の子ファイター,"￥5,600","￥5,500代",0,1
1989-10-31,-,2,ACT,ハドソン,ドラえもん迷宮大作戦(Vol.22),"￥4,900","￥5,000代",0,1
1989-11-03,-,2,SLG,インテック,都留照人の実戦株式倍バイゲーム,"￥9,800","￥10,000代",0,1
1989-11-17,-,3,A-PRG,ハドソン,ニュートピア(Vol.23),"￥5,800","￥6,000代",0,1
1989-11-17,32,4,ETC,フェイス,麻雀学園東間宗四郎登場,"￥7,980","￥8,000代",0,1
1989-11-22,32,3,SLG,サリオ,大地くんクライシス,"￥6,400","￥6,500代",0,1
1989-11-23,-,2,SPT,ビクター音楽産業,ジャックニクラウスチャンピオンシップゴルフ,"￥6,200","￥6,000代",0,1
1989-11-25,-,3,RAC,タイトー,バリバリ伝説,"￥6,600","￥6,500代",0,1
1989-11-30,-,4,SHT,ハドソン,バトルエース,"￥6,500","￥6,500代",0,1
1989-12-01,-,4,SHT,アイレム,Mr.HELIの大冒険(Vol.2),"￥6,700","￥6,500代",0,1
1989-12-01,-,2,SPT,エイコム,USAプロバスケットボール,"￥5,600","￥5,500代",0,1
1989-12-08,-,2,SPT,クリーム,ブルファイトリングの覇者,"￥6,300","￥6,500代",0,1
1989-12-08,-,3,ACT,アスミック,忍SHINOBI,"￥6,800","￥7,000代",0,1
1989-12-15,-,3,ACT,ハドソン,PC原人(Vol.24),"￥5,800","￥6,000代",0,1
1989-12-15,-,2,SPT,インテック,これがプロ野球'89,"￥5,800","￥6,000代",0,1
1989-12-22,-,2,RAC,パックインビデオ,ナイトライダースペシャル,"￥5,800","￥6,000代",0,1
1989-12-22,-,3,SHT,タイトー,ヘビーユニット,"￥6,600","￥6,500代",0,1
1989-12-22,-,3,RPG,サンソフト,弁慶外伝(Vol.2),"￥6,200","￥6,000代",0,1
1989-12-23,-,3,RAC,ヒューマン,F1トリプルバトル,"￥6,300","￥6,500代",0,1
1989-12-27,30,3,PUZ,タイトー,ヴォルフィード,"￥6,600","￥6,500代",0,1
1990-01-19,-,4,SHT,UPL,アトミックロボキッド(Vol.1),"￥6,700","￥6,500代",0,1
1990-01-26,-,3,SLG,メサイヤ,ガイフレーム,"￥5,800","￥6,000代",0,1
1990-01-26,30,3,RAC,タイトー,タイトーチェイスH.Q.,"￥6,600","￥6,500代",0,1
1990-01-26,-,4,ADV,ナグザット,逐電屋藤兵衛,"￥6,700","￥6,500代",0,1
