年,地域,企業,産業大分類(横),都道府県,産業大分類,業種中分類,未使用,カウント
2009-01-01,1,3,不動産業，物品賃貸業,北海道,不動産取引業,不動産取引業,0,821
2009-01-01,1,0,不動産業，物品賃貸業,北海道,不動産賃貸業・管理業,不動産賃貸業・管理業,0,6493
2009-01-01,1,1,不動産業，物品賃貸業,北海道,物品賃貸業,物品賃貸業,0,263
2009-01-01,1,2,学術研究，専門・技術サービス業,北海道,学術・開発研究機関,学術・開発研究機関,0,66
2009-01-01,1,3,学術研究，専門・技術サービス業,北海道,専門サービス業（他に分類されないもの）,専門サービス業（他に分類されないもの）,0,1856
2009-01-01,1,3,学術研究，専門・技術サービス業,北海道,広告業,広告業,0,218
2009-01-01,1,0,学術研究，専門・技術サービス業,北海道,技術サービス業（他に分類されないもの）,技術サービス業（他に分類されないもの）,0,1620
2009-01-01,1,3,宿泊業，飲食サービス業,北海道,宿泊業,宿泊業,0,235
2009-01-01,1,0,宿泊業，飲食サービス業,北海道,飲食店,飲食店,0,7955
2009-01-01,1,1,宿泊業，飲食サービス業,北海道,持ち帰り・配達飲食サービス業,持ち帰り・配達飲食サービス業,0,157
2009-01-01,1,2,生活関連サービス業，娯楽業,北海道,洗濯・理容・美容・浴場業,洗濯・理容・美容・浴場業,0,3971
2009-01-01,1,1,生活関連サービス業，娯楽業,北海道,その他の生活関連サービス業,その他の生活関連サービス業,0,456
2009-01-01,1,1,生活関連サービス業，娯楽業,北海道,娯楽業,娯楽業,0,429
2009-01-01,1,0,教育，学習支援業,北海道,学校教育,学校教育,0,156
2009-01-01,1,3,教育，学習支援業,北海道,その他の教育，学習支援業,その他の教育，学習支援業,0,1186
2009-01-01,1,2,医療，福祉,北海道,医療業,医療業,0,3283
2009-01-01,1,0,医療，福祉,北海道,保健衛生,保健衛生,0,26
2009-01-01,1,1,医療，福祉,北海道,社会保険・社会福祉・介護事業,社会保険・社会福祉・介護事業,0,718
2009-01-01,1,3,複合サービス事業,北海道,郵便局,郵便局,0,14
2009-01-01,1,0,複合サービス事業,北海道,協同組合（他に分類されないもの）,協同組合（他に分類されないもの）,0,38
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,廃棄物処理業,廃棄物処理業,0,76
2009-01-01,1,0,サービス業（他に分類されないもの）,北海道,自動車整備業,自動車整備業,0,498
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,機械等修理業（別掲を除く）,機械等修理業（別掲を除く）,0,328
2009-01-01,1,1,サービス業（他に分類されないもの）,北海道,職業紹介・労働者派遣業,職業紹介・労働者派遣業,0,145
2009-01-01,1,3,サービス業（他に分類されないもの）,北海道,その他の事業サービス業,その他の事業サービス業,0,895
