稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1986-09-01,AC,アウトランボード,,SEGA,アウトラン,,0,0
1986-09-01,AC,システム16A、B,,SEGA,アクションファイター,,0,0
1986-10-01,AC,-,,SEGA,ギガス,,0,0
1986-12-01,AC,システム16A、B,,SEGA,アレックスキッド ザ・ロストスターズ（英語版）,,0,0
1986-12-01,AC,-,,SEGA,ギガス MK-II,,0,0
1987-01-01,AC,-,,SEGA,ギャングスタータウン（英語版）,,0,0
1987-01-01,AC,-,,SEGA,グレートフットボール,,0,0
1987-01-01,AC,-,,SEGA,スケバン雀士竜子,ホワイトボード,0,0
1987-01-01,AC,-,,SEGA,脱子ちゃん雀荘,,0,0
1987-01-01,AC,-,,SEGA,め組レスキュー,,0,0
1987-01-01,AC,システム16B,,SEGA,ダンクショット,,0,0
1987-01-01,AC,システムE,,SEGA,ピタゴラスの謎,ナスコ,0,0
1987-02-01,AC,システムE,,SEGA,ファンタジーゾーンII,,0,0
1987-03-01,AC,システム16A、B,,SEGA,タイムスキャナー,,0,0
1987-03-01,AC,-,,SEGA,パーフェクトビリヤード,日本システム,0,0
1987-03-01,AC,システム1（タイプB）、システム2,,SEGA,ブロックギャル,ビック東海,0,0
1987-04-01,AC,システム16A、B,,SEGA,エイリアンシンドローム,,0,0
1987-04-01,AC,システム16A、B,,SEGA,SDI -Strategic Defense Initiative-,,0,0
1987-04-01,AC,アウトランボード,,SEGA,スーパーハングオン,,0,0
1987-05-01,AC,-,,SEGA,デンジャーゾーン,シネマトロニクス,0,0
1987-06-01,AC,-,,SEGA,コンバットホーク,サンリツ,0,0
1987-06-01,AC,システム2,,SEGA,時の戦士,,0,0
1987-06-01,AC,システム16B,,SEGA,バレット,,0,0
1987-07-01,AC,-,,SEGA,シューティングゾーン/シューティングゾーン2,,0,0
1987-07-01,AC,Xボード,,SEGA,アフターバーナー,,0,0
1987-07-01,AC,システムE,,SEGA,オパオパ,,0,0
1987-08-01,AC,システム2,,SEGA,ワンダーボーイ モンスターランド,ウエストン,0,0
1987-09-01,AC,システム16B,,SEGA,スーパーリーグ,,0,0
1987-09-01,AC,日本システムマザーボード,,SEGA,フリーキック,日本システム,0,0
1987-10-01,AC,Xボード,,SEGA,アフターバーナーII,,0,0
1987-10-01,AC,システム16B,,SEGA,ヘビーウェイトチャンプ,,0,0
1987-11-01,AC,システム16A、B,,SEGA,忍 -SHINOBI-,,0,0
1987-12-01,AC,Xボード,,SEGA,サンダーブレード,,0,0
1987-12-01,AC,システム16B,,SEGA,ソニックブーム,,0,0
