稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
2014-06-01,AC,-,,SEGA,遊育右脳教室 うのチャレ,,0,0
2014-07-01,AC,-,,SEGA,劇場版 魔法少女まどか☆マギカ MAGICARD BATTLE,,0,0
2014-07-01,AC,-,,SEGA,初音ミク Project DIVA Arcade Future Tone Version A,,0,0
2014-07-01,AC,-,,SEGA,セガネットワーク対戦麻雀MJ5 R EVOLUTION,,0,0
2014-07-01,AC,RINGEDGE,,SEGA,頭文字D ARCADE STAGE 8 インフィニティ,,0,0
2014-08-01,AC,-,,SEGA,シャイニング・フォース クロスエクレシア ゼニス,,0,0
2014-09-01,AC,-,,SEGA,戦国大戦 -1600 関ヶ原 序の布石、葵打つ-,,0,0
2014-09-01,AC,RINGEDGE2,,SEGA,maimai ORANGE,,0,0
2014-11-01,AC,-,,SEGA,けいおん!! 放課後リズムセレクション,,0,0
2014-11-01,AC,-,,SEGA,え〜でる すなば,,0,0
2014-11-01,AC,-,,SEGA,WORLD CLUB Champion Football 2013-2014,,0,0
2014-11-01,AC,-,,SEGA,CODE OF JOKER Ver.1.3 begiNNing,,0,0
2014-12-01,AC,Nu SX,,SEGA,占いコレクション トロッテ,,0,0
2015-01-01,AC,-,,SEGA,UNDER NIGHT IN-BIRTH Exe:Late［st］,フランスパン、アークシステムワークス,0,0
2015-01-01,AC,-,,SEGA,GUILTY GEAR Xrd -REVELATOR-,アークシステムワークス,0,0
2015-01-01,AC,-,,SEGA,電撃文庫 FIGHTING CLIMAX IGNITION,フランスパン、エコールソフトウェア,0,0
2015-02-01,AC,Nu,,SEGA,Wonderland Wars,,0,0
2015-03-01,AC,-,FTG,SEGA,バーチャファイター5 ファイナルショーダウン VERSION B,,0,0
2015-03-01,AC,-,,SEGA,maimai ORANGE PLUS,,0,0
2015-06-01,AC,-,,SEGA,戦国大戦 -1615 大坂燃ゆ、世は夢の如く-,,0,0
2015-07-01,AC,Nu,,SEGA,チュウニズム,,0,0
2015-07-01,AC,-,,SEGA,え〜でる すなば プラス,,0,0
2015-07-01,AC,-,,SEGA,新甲虫王者ムシキング,,0,0
2015-07-01,AC,-,,SEGA,CODE OF JOKER Ver.1.4 GroW=Win,,0,0
2015-11-01,AC,-,,SEGA,ボーダーブレイク スクランブル 武,,0,0
2015-12-01,AC,-,,SEGA,maimai PiNK,,0,0
2016-01-01,AC,-,,SEGA,恋姫†演武 遼来来,BaseSon、UNKNOWN GAMES,0,0
2016-01-01,AC,-,,SEGA,戦国大戦 1477-1615 日ノ本 一統への軍記,,0,0
2016-01-01,AC,-,,SEGA,WORLD CLUB Champion Football 2015-2016,,0,0
2016-02-01,AC,-,,SEGA,初音ミク Project DIVA Arcade Future Tone Version B,,0,0
2016-02-01,AC,-,,SEGA,チュウニズム プラス,,0,0
2016-02-01,AC,-,,SEGA,マリオ&ソニック AT リオオリンピック アーケードゲーム,,0,0
2016-04-01,AC,-,,SEGA,艦これアーケード,,0,0
2016-05-01,AC,-,,SEGA,CODE OF JOKER S,,0,0
2016-06-01,AC,-,,SEGA,ボーダーブレイク エックス,,0,0
2016-06-01,AC,-,,SEGA,maimai PiNK PLUS,,0,0
2016-07-01,AC,-,,SEGA,らくがきカードバトル撃墜王,ココノヱ,0,0
2016-08-01,AC,-,,SEGA,チュウニズム エアー,,0,0
2016-12-01,AC,Nu,,SEGA,Wonderland Wars 運命の時刻盤,,0,0
2016-12-01,AC,-,,SEGA,三国志大戦（2代目）,,0,0
2016-12-01,AC,-,,SEGA,maimai MURASAKi,,0,0
2017-01-01,AC,-,,SEGA,GUILTY GEAR Xrd REV2,アークシステムワークス,0,0
2017-01-01,AC,-,,SEGA,WORLD CLUB Champion Football 2016-2017,,0,0
2017-02-01,AC,-,,SEGA,ピンポン ザウルスハンター,広州市雄翔動漫科技有限公司,0,0
2017-02-01,AC,-,,SEGA,チュウニズム エアー プラス,,0,0
2017-02-01,AC,-,,SEGA,ボーダーブレイク エックス ゼロ,,0,0
2017-03-01,AC,Nu2,,SEGA,頭文字D ARCADE STAGE Zero,,0,0
2017-04-01,AC,-,,SEGA,CODE OF JOKER EDGE,,0,0
2017-04-01,AC,-,,SEGA,セガNET麻雀 MJ Arcade,,0,0
2017-06-01,AC,-,,SEGA,maimai MURASAKi PLUS,,0,0
2017-08-01,AC,-,,SEGA,チュウニズム スター,,0,0
2017-08-01,AC,-,,SEGA,CODE OF JOKER ECHOES,,0,0
2017-09-01,AC,-,,SEGA,ボーダーブレイク エックス ゼロ プラス,,0,0
2017-10-01,AC,-,,SEGA,三国志大戦 天槍の共鳴,,0,0
2017-12-01,AC,Nu,,SEGA,Wonderland Wars 醒し創聖の闘歌劇,,0,0
2017-12-01,AC,-,,SEGA,CODE OF JOKER THE AGENTS,,0,0
2017-12-01,AC,-,,SEGA,maimai MiLK,,0,0
2018-01-01,AC,-,,SEGA,Blade Strangers,スタジオ最前線,0,0
2018-01-01,AC,-,,SEGA,WORLD CLUB Champion Football 2017-2018,,0,0
2018-02-01,AC,-,,SEGA,SOUL REVERSE,,0,0
2018-03-01,AC,-,,SEGA,チュウニズム スター プラス,,0,0
2018-03-01,AC,-,,SEGA,SEGA World Drivers Championship,,0,0
2018-06-01,AC,-,,SEGA,maimai MiLK PLUS,,0,0
2018-07-01,AC,-,,SEGA,Fate/Grand Order Arcade,,0,0
2018-07-01,AC,-,,SEGA,オンゲキ,,0,0
2018-08-01,AC,-,,SEGA,ソウルリバース 赤き盟約,,0,0
2018-08-01,AC,-,,SEGA,三国志大戦 狼主の双剣,,0,0
2018-09-01,AC,-,,SEGA,ハウス・オブ・ザ・デッド 〜スカーレット・ドーン〜,,0,0
2018-10-01,AC,-,,SEGA,チュウニズム アマゾン,,0,0
2018-12-01,AC,Nu,,SEGA,Wonderland Wars 七つ色の冒険譚,,0,0
2018-12-01,AC,-,,SEGA,SEGA World Drivers Championship 2019,,0,0
2018-12-01,AC,-,,SEGA,maimai FiNALE,,0,0
2019-02-01,AC,-,,SEGA,クロノレガリア,,0,0
2019-02-01,AC,-,,SEGA,オンゲキ PLUS,,0,0
2019-03-01,AC,-,,SEGA,WCCF FOOTISTA 2019,,0,0
2019-04-01,AC,-,,SEGA,頭文字D ARCADE STAGE Zero Ver.2.0,,0,0
2019-04-01,AC,-,,SEGA,チュウニズム アマゾン プラス,,0,0
2019-04-01,AC,-,,SEGA,三国志大戦 伝承の煌弓,,0,0
2019-04-01,AC,ALLS UX,PZL落ち物,SEGA,ぷよぷよeスポーツ アーケード,,0,0
2019-04-01,AC,-,,SEGA,BLAZBLUE CROSS TAG BATTLE,アークシステムワークス,0,0
2019-07-01,AC,-,,SEGA,maimai でらっくす,,0,0
2019-07-01,AC,-,,SEGA,クロノレガリアEX,,0,0
2019-07-01,AC,-,,SEGA,デッド オア アライブ6,コーエーテクモゲームス,0,0
2019-08-01,AC,-,,SEGA,オンゲキ SUMMER,,0,0
2019-08-01,AC,-,,SEGA,タッピングスキルテスト,トライアングル・サービス,0,0
2019-09-01,AC,-,,SEGA,けものフレンズ3 プラネットツアーズ,,0,0
2019-10-01,AC,-,,SEGA,チュウニズム クリスタル,,0,0
2019-12-01,AC,-,,SEGA,Wonderland Wars -禍ツ大和ノ宿曜典,,0,0
2020-01-01,AC,-,,SEGA,maimai でらっくす PLUS,,0,0
2020-01-01,AC,-,,SEGA,マリオ&ソニック AT 東京2020オリンピック アーケードゲーム,,0,0
2020-01-01,AC,-,,SEGA,WCCF FOOTISTA 2020,,0,0
2020-02-01,AC,-,,SEGA,オンゲキ SUMMER PLUS,,0,0
2020-03-01,AC,-,,SEGA,三国志大戦 暁光、星屑を照らし,,0,0
2020-03-01,AC,-,,SEGA,オトシューDX,EZDAEMON,0,0
2020-04-01,AC,-,,SEGA,トランスフォーマー・シャドウズライジング,,0,0
2020-07-01,AC,-,,SEGA,チュウニズム クリスタル プラス,,0,0
2020-07-01,AC,-,,SEGA,ペンゴ! オンライン,トライアングル・サービス,0,0
2020-07-01,AC,-,,SEGA,ローリングガンナー,Project Rolling Gunner,0,0
2020-09-01,AC,-,,SEGA,maimai でらっくす Splash,,0,0
2020-09-01,AC,-,,SEGA,グーニャファイター APM3 Edition,MUTAN,0,0
2020-09-01,AC,-,,SEGA,海腹川背 Flesh! for AC,サクセス、スタジオ最前線,0,0
2020-10-01,AC,-,,SEGA,オンゲキ R.E.D.,,0,0
2020-12-01,AC,-,,SEGA,WCCF FOOTISIA 2021,,0,0
2021-01-01,AC,-,,SEGA,チュウニズム パラダイス,,0,0
2021-02-01,AC,-,,SEGA,三国志大戦 決戦の空 虹扇の風,,0,0
2021-02-01,AC,-,,SEGA,頭文字D THE ARCADE,,0,0
2021-03-01,AC,-,,SEGA,maimai でらっくす Splash PLUS,,0,0
2021-03-01,AC,-,,SEGA,オンゲキ R.E.D. PLUS,,0,0
2021-04-01,AC,-,,SEGA,UNDER NIGHT IN-BIRTH Exe:Late［cl-r］,フランスパン、アークシステムワークス,0,0
2021-05-01,AC,-,,SEGA,チュウニズム パラダイス ロスト,,0,0
2021-06-01,AC,-,FTG,SEGA,バーチャファイター eスポーツ,,0,0
2021-07-01,AC,-,,SEGA,戦刃アレスタ,エムツー,0,0
2021-07-01,AC,-,,SEGA,GUILTY GEAR -STRIVE-,アークシステムワークス,0,0
2021-09-01,AC,-,,SEGA,maimai でらっくす UNiVERSE,,0,0
2021-09-01,AC,-,,SEGA,コットンロックンロール,サクセス、スタジオ最前線,0,0
2021-10-01,AC,-,,SEGA,オンゲキ bright,,0,0
2021-11-01,AC,-,,SEGA,チュウニズム ニュー!!,,0,0
2021-11-01,AC,-,,SEGA,ノスフェラトゥ リリノア,neon,0,0
2021-11-01,AC,-,,SEGA,かしおり,サクセス,0,0
2022-03-01,AC,-,,SEGA,オンゲキ bright MEMORY,,0,0
2022-03-01,AC,-,,SEGA,英傑大戦 三千世界の波動,,0,0
2022-03-01,AC,-,,SEGA,maimai でらっくす UNiVERSE PLUS,,0,0
2022-03-01,AC,-,,SEGA,頭文字D THE ARCADE SEASON 2,,0,0
2022-04-01,AC,-,,SEGA,チュウニズム ニュー プラス!!,,0,0
2022-07-01,AC,-,,SEGA,ミルクちゃん,スタジオ最前線,0,0
2022-09-01,AC,-,,SEGA,maimai でらっくす FESTiVAL,,0,0
2022-10-01,AC,-,,SEGA,チュウニズム サン,,0,0
2022-12-01,AC,-,,SEGA,英傑大戦 廻天の五芒星,,0,0
2023-03-01,AC,-,,SEGA,上海IV 竜門飛躍,サンソフト、サクセス,0,0
2023-03-01,AC,-,,SEGA,maimai でらっくす FESTiVAL PLUS,,0,0
2023-04-01,AC,-,,SEGA,頭文字D THE ARCADE SEASON 3,,0,0
2023-05-01,AC,-,,SEGA,チュウニズム サン プラス,,0,0
2023-09-01,AC,-,,SEGA,maimai でらっくす BUDDiES,,0,0
2023-11-01,AC,-,,SEGA,英傑大戦 六極の煌剣,,0,0
2023-11-01,AC,-,FTG,SEGA,バーチャファイター3tb オンライン,,0,0
2023-12-01,AC,-,,SEGA,チュウニズム ルミナス,,0,0
2024-03-01,AC,-,,SEGA,maimai でらっくす BUDDiES PLUS,,0,0
2024-04-01,AC,-,,SEGA,頭文字D THE ARCADE SEASON 4,,0,0
2024-06-01,AC,-,,SEGA,チュウニズム ルミナス プラス,,0,0
2024-09-01,AC,-,,SEGA,maimai でらっくす PRiSM,,0,0
2024-09-01,AC,-,,SEGA,英傑大戦 二天双龍の闘い,,0,0
1976-01-01,AC,-,,KONAMI,メイズ (Maze),,0,0
1978-01-01,AC,-,,KONAMI,スペースキング (Space King),,0,0
1978-01-01,AC,-,,KONAMI,スペースシップ (Space Ship),,0,0
1978-01-01,AC,-,,KONAMI,ブロックインベーダー (Block Invader),,0,0
1978-01-01,AC,-,,KONAMI,ブロックゲーム (Block Game),,0,0
1979-01-01,AC,-,,KONAMI,スペースウォー,,0,0
1979-01-01,AC,-,,KONAMI,スペースキング2 (Space King-2),,0,0
1979-01-01,AC,-,,KONAMI,スーパーデストロイヤー (Super Destroyer),,0,0
1979-01-01,AC,-,,KONAMI,リッチマン (RichMan),,0,0
1980-01-01,AC,-,,KONAMI,ウルトラインベーダー (Ultra Invaders),,0,0
1980-01-01,AC,-,,KONAMI,カミカゼ,,0,0
1981-01-01,AC,-,,KONAMI,600,,0,0
1981-01-01,AC,-,,KONAMI,アミダー,,0,0
1981-01-01,AC,-,,KONAMI,ウルトラドーム (Ultra Dome),,0,0
1981-01-01,AC,-,,KONAMI,ジ・エンド,,0,0
1981-01-01,AC,-,,KONAMI,ジャングラー,,0,0
1981-01-01,AC,-,,KONAMI,スーパーコブラ,,0,0
1981-01-01,AC,-,,KONAMI,スクランブル,,0,0
1981-01-01,AC,-,,KONAMI,ストラテジーX (Strategy X),,0,0
1981-01-01,AC,-,,KONAMI,タクティシャン (Tactician),,0,0
1981-01-01,AC,-,,KONAMI,ビデオハスラー (Video Hustler),,0,0
1981-01-01,AC,-,,KONAMI,フロッガー,,0,0
1982-01-01,AC,-,,KONAMI,ガッタンゴットン,,0,0
1982-01-01,AC,-,,KONAMI,タイムパイロット,,0,0
1982-01-01,AC,-,,KONAMI,ツタンカーム,,0,0
1982-01-01,AC,-,,KONAMI,プーヤン,,0,0
1983-01-01,AC,-,,KONAMI,Qバート (Q*bert),,0,0
1983-01-01,AC,-,,KONAMI,ジャイラス,,0,0
1983-01-01,AC,-,,KONAMI,ジュノファースト,,0,0
1983-01-01,AC,-,,KONAMI,ハイパーオリンピック,,0,0
1983-01-01,AC,-,,KONAMI,メガゾーン,,0,0
1983-01-01,AC,-,,KONAMI,ロックンロープ,,0,0
1984-01-01,AC,-,,KONAMI,サーカスチャーリー,,0,0
1984-01-01,AC,-,,KONAMI,新入社員とおるくん,,0,0
1984-01-01,AC,-,,KONAMI,スーパーバスケットボール,,0,0
1984-01-01,AC,-,,KONAMI,タイムパイロット'84,,0,0
1984-01-01,AC,-,,KONAMI,ハイパーオリンピック'84,,0,0
1984-01-01,AC,-,,KONAMI,バッドランズ,,0,0
1984-01-01,AC,-,,KONAMI,パンドラズパレス,,0,0
1984-01-01,AC,-,,KONAMI,ロードファイター,,0,0
1985-01-01,AC,-,,KONAMI,イー・アル・カンフー,,0,0
1985-01-01,AC,-,,KONAMI,ウィズクイズ (Wizz Quiz),,0,0
1985-01-01,AC,-,,KONAMI,ギャラクティックウォーリアーズ,,0,0
1985-01-01,AC,-,SHT,KONAMI,グラディウス,,0,0
1985-01-01,AC,-,,KONAMI,グリーンベレー,,0,0
1985-01-01,AC,-,,KONAMI,コナミのピンポン,,0,0
1985-01-01,AC,-,,KONAMI,コナミRF2レッドファイター (RF-2),,0,0
1985-01-01,AC,-,,KONAMI,ショーリンズロード,,0,0
1985-01-01,AC,-,,KONAMI,スクーターシューター (Scooter Shooter),,0,0
1985-01-01,AC,-,,KONAMI,ツインビー,,0,0
1985-01-01,AC,-,,KONAMI,ファイナライザー,,0,0
1986-01-01,AC,-,,KONAMI,VS.グーニーズ,,0,0
1986-01-01,AC,-,,KONAMI,恋のホットロック,,0,0
1986-01-01,AC,-,SHT,KONAMI,沙羅曼蛇,,0,0
1986-01-01,AC,-,,KONAMI,特殊部隊ジャッカル,,0,0
1986-01-01,AC,-,,KONAMI,マンハッタン24分署,,0,0
1986-01-01,AC,-,,KONAMI,Mr.五右衛門,,0,0
1986-01-01,AC,-,,KONAMI,WECル・マン24,コアランドテクノロジー,0,0
1987-01-01,AC,-,,KONAMI,A-JAX,,0,0
1987-01-01,AC,-,A-SHT,KONAMI,魂斗羅,,0,0
1987-01-01,AC,-,,KONAMI,コンバットスクール,,0,0
1987-01-01,AC,-,,KONAMI,ザ・ハスラー,,0,0
1987-01-01,AC,-,,KONAMI,シティーボンバー,,0,0
1987-01-01,AC,-,,KONAMI,大列車強盗,,0,0
1987-01-01,AC,-,,KONAMI,ダブルドリブル (Double Dribble),,0,0
1987-01-01,AC,-,,KONAMI,ハイパークラッシュ,,0,0
1987-01-01,AC,-,,KONAMI,バトランティス,,0,0
1987-01-01,AC,-,,KONAMI,ファストレーン (Fast Lane),,0,0
1987-01-01,AC,-,,KONAMI,フラック・アタック,,0,0
1987-01-01,AC,-,,KONAMI,ブラックパンサー,コアランドテクノロジー,0,0
1987-01-01,AC,-,,KONAMI,ブレイブオブスティール(Blades of Steel),,0,0
1987-01-01,AC,-,,KONAMI,魔獣の王国,,0,0
1987-01-01,AC,-,,KONAMI,ライフフォース,,0,0
1987-01-01,AC,-,,KONAMI,ラビリンスランナー,,0,0
1988-01-01,AC,-,,KONAMI,悪魔城ドラキュラ,,0,0
1988-01-01,AC,-,,KONAMI,餓流禍,,0,0
1988-01-01,AC,-,SHT,KONAMI,グラディウスII -GOFERの野望-,,0,0
1988-01-01,AC,-,,KONAMI,クレイジー・コップ,,0,0
1988-01-01,AC,-,,KONAMI,サンダークロス,,0,0
1988-01-01,AC,-,A-SHT,KONAMI,スーパー魂斗羅 エイリアンの逆襲 (Super Contra),,0,0
1988-01-01,AC,-,,KONAMI,チェッカーフラグ,,0,0
1988-01-01,AC,-,,KONAMI,にゃんにゃんパニック,,0,0
1988-01-01,AC,-,,KONAMI,ハードパンチャー 血まみれの栄光,,0,0
1988-01-01,AC,-,,KONAMI,ハイパースポーツスペシャル (Hyper Sports Specia),,0,0
1988-01-01,AC,-,,KONAMI,ホットチェイス,,0,0
1988-01-01,AC,-,,KONAMI,リングの王者,,0,0
1989-01-01,AC,-,,KONAMI,エスピオナージ,,0,0
1989-01-01,AC,-,,KONAMI,M.I.A. - Missing in Action,,0,0
1989-01-01,AC,-,,KONAMI,急降下爆撃隊,,0,0
1989-01-01,AC,-,,KONAMI,キューブリック,,0,0
1989-01-01,AC,-,,KONAMI,クォース,,0,0
1989-01-01,AC,-,,KONAMI,クライムファイターズ,,0,0
1989-01-01,AC,-,SHT,KONAMI,グラディウスIII -伝説から神話へ-,,0,0
1989-01-01,AC,-,,KONAMI,T.M.N.T. 〜スーパー亀忍者〜,,0,0
1989-01-01,AC,-,,KONAMI,メインスタジアム,,0,0
1990-01-01,AC,-,,KONAMI,エイリアンズ,,0,0
1990-01-01,AC,-,,KONAMI,オーバードライブ (Over Drive),,0,0
1990-01-01,AC,-,,KONAMI,サプライズアタック,,0,0
1990-01-01,AC,-,,KONAMI,トライゴン,,0,0
1990-01-01,AC,-,,KONAMI,パロディウスだ! 〜神話からお笑いへ〜,,0,0
1990-01-01,AC,-,,KONAMI,パンクショット,,0,0
1990-01-01,AC,-,,KONAMI,ピットファイター,アタリ,0,0
1991-01-01,AC,-,,KONAMI,エスケープキッズ,,0,0
1991-01-01,AC,-,,KONAMI,クライムファイターズ2,,0,0
1991-01-01,AC,-,,KONAMI,ゴルフィンググレイツ,,0,0
1991-01-01,AC,-,,KONAMI,ザ・シンプソンズ,,0,0
1991-01-01,AC,-,,KONAMI,サンセットライダーズ,,0,0
1991-01-01,AC,-,,KONAMI,サンダークロスII,,0,0
1991-01-01,AC,-,,KONAMI,XEXEX（ゼクセクス）,,0,0
1991-01-01,AC,-,,KONAMI,ティーンエイジ・ミュータント・ニンジャ・タートルズ - タートルズ イン タイム (Teenage Mutant Ninja Turtles: Turtles in Time),,0,0
1991-01-01,AC,-,,KONAMI,出たな!!ツインビー,,0,0
1991-01-01,AC,-,,KONAMI,ローラーゲーム (RollerGames),,0,0
1992-01-01,AC,-,,KONAMI,アステリクス,,0,0
1992-01-01,AC,-,FTG,KONAMI,X-MEN,,0,0
1992-01-01,AC,-,,KONAMI,G.I.ジョー リアルアメリカンヒーロー (G.I. Joe),,0,0
1992-01-01,AC,-,,KONAMI,バッキーオヘア (Bucky O'Hare),,0,0
1992-01-01,AC,-,,KONAMI,ヘクシオン,,0,0
1992-01-01,AC,-,,KONAMI,Potrio,,0,0
1992-01-01,AC,-,,KONAMI,リーサルエンフォーサーズ,,0,0
1992-01-01,AC,-,,KONAMI,Wild West C.O.W.-Boys of Moo Mesa,,0,0
1993-01-01,AC,-,,KONAMI,ガイアポリス 〜黄金鷹の剣〜,,0,0
1993-01-01,AC,-,,KONAMI,究極戦隊ダダンダーン,,0,0
1993-01-01,AC,-,,KONAMI,クイズ学問ノススメ,,0,0
1993-01-01,AC,-,,KONAMI,スラムダンク,,0,0
1993-01-01,AC,-,,KONAMI,バイオレントストーム,,0,0
1993-01-01,AC,-,サッカー,KONAMI,プレミアサッカー,,0,0
1993-01-01,AC,-,,KONAMI,ポリネットウォーリアーズ,,0,0
1993-01-01,AC,-,,KONAMI,マーシャルチャンピオン,,0,0
1993-01-01,AC,-,,KONAMI,ミスティックウォリアーズ 怒りの忍者,,0,0
1993-01-01,AC,-,,KONAMI,メタモルフィックフォース,,0,0
1994-01-01,AC,-,,KONAMI,クイズドレミファグランプリ,,0,0
1994-01-01,AC,-,,KONAMI,極上パロディウス 〜過去の栄光を求めて〜,,0,0
1994-01-01,AC,-,,KONAMI,ゴルフィンググレイツ2,,0,0
1994-01-01,AC,-,サッカー,KONAMI,サッカースーパースターズ,,0,0
1994-01-01,AC,-,,KONAMI,対戦ぱずるだま,,0,0
1994-01-01,AC,-,,KONAMI,ブレーン・バスターズ (Brain Busters),,0,0
1994-01-01,AC,-,,KONAMI,レーシングフォース,,0,0
1994-01-01,AC,-,,KONAMI,リーサルエンフォーサーズII ザ・ウエスタン (Lethal Enforcers II: Gun Fighters),,0,0
1995-01-01,AC,-,,KONAMI,ウルトラスポーツ (Ultra Sports),,0,0
1995-01-01,AC,-,,KONAMI,ウルトラホッケー (Ultra Hockey),,0,0
1995-01-01,AC,-,,KONAMI,クイズドレミファグランプリ2 新曲入荷だよ,,0,0
1995-01-01,AC,-,,KONAMI,Sure Shot Sheriff,,0,0
1995-01-01,AC,-,,KONAMI,スピードキング NEO KOBE 2045,,0,0
1995-01-01,AC,-,,KONAMI,ツインビーヤッホー! ふしぎの国で大あばれ!!,,0,0
1995-01-01,AC,-,,KONAMI,ときめきメモリアル対戦ぱずるだま,,0,0
1995-01-01,AC,-,,KONAMI,ドラグーンマイト,,0,0
1995-01-01,AC,-,サッカー,KONAMI,ファイブアサイドサッカー (Five a Side Soccer),,0,0
1995-01-01,AC,-,サッカー,KONAMI,プレミアサッカー'95,,0,0
1995-01-01,AC,-,,KONAMI,ヘンリーエクスプローラーズ,,0,0
1995-01-01,AC,-,,KONAMI,ホールインワン (Hole In One),,0,0
1995-01-01,AC,-,,KONAMI,ミッドナイトラン ロードファイター2,,0,0
1996-01-01,AC,-,サッカー,KONAMI,ヴァーサスネットサッカー,,0,0
1996-01-01,AC,-,,KONAMI,クイズドレミファグランプリ3,,0,0
1996-01-01,AC,-,SHT,KONAMI,沙羅曼蛇2,,0,0
1996-01-01,AC,-,,KONAMI,GTI Club Rally Cote D'azur,,0,0
1996-01-01,AC,-,,KONAMI,ジェットウェーブ,,0,0
1996-01-01,AC,-,野球,KONAMI,実況パワフルプロ野球'96,,0,0
1996-01-01,AC,-,,KONAMI,進め!対戦ぱずるだま,,0,0
1996-01-01,AC,-,,KONAMI,スラムダンク2,,0,0
1996-01-01,AC,-,,KONAMI,セクシーパロディウス,,0,0
1996-01-01,AC,-,,KONAMI,だい好キッス,,0,0
1996-01-01,AC,-,,KONAMI,対戦とっかえだま,,0,0
1996-01-01,AC,-,,KONAMI,ハイパーアスリート / ハイパーオリンピックインアトランタ,[32],0,0
1996-01-01,AC,-,,KONAMI,Beat The Champ,,0,0
1996-01-01,AC,-,,KONAMI,ビシバシチャンプ ミニゲーム選手権,,0,0
1996-01-01,AC,-,,KONAMI,ワインディングヒート,,0,0
1997-01-01,AC,-,,KONAMI,ウィニングスパイク,,0,0
1997-01-01,AC,-,,KONAMI,ウェディングラプソディ,,0,0
1997-01-01,AC,-,,KONAMI,オペレーションサンダーハリケーン,,0,0
1997-01-01,AC,-,野球,KONAMI,実況パワフルプロ野球EX,,0,0
1997-01-01,AC,-,,KONAMI,ソーラーアサルト,,0,0
1997-01-01,AC,-,,KONAMI,ソーラーアサルト リバイズド,,0,0
1997-01-01,AC,-,,KONAMI,デッドアイ,,0,0
1997-01-01,AC,-,,KONAMI,トータルバイス,,0,0
1997-01-01,AC,-,,KONAMI,ときめきメモリアル 〜おしえてYour heart〜,,0,0
1997-01-01,AC,-,,KONAMI,ときめきメモリアル 〜おしえてYour Heart〜 シールバージョン+,,0,0
1997-01-01,AC,-,,KONAMI,とべ!ポリスターズ,,0,0
1997-01-01,AC,-,,KONAMI,バトルビジョン,,0,0
1997-01-01,AC,-,,KONAMI,ハングパイロット,,0,0
1997-01-01,AC,-,,KONAMI,beatmania,,0,0
1997-01-01,AC,-,,KONAMI,FIGHTING武術,,0,0
1997-01-01,AC,-,,KONAMI,FIGHTING武術 2nd,,0,0
1997-01-01,AC,-,,KONAMI,ラッシングヒーローズ (Rushing Heroes),,0,0
1997-01-01,AC,-,,KONAMI,レーシングジャム,,0,0
1998-01-01,AC,-,,KONAMI,エビルナイト (Evil Night),,0,0
1998-01-01,AC,-,,KONAMI,コナミ80'sアーケードギャラリー,,0,0
1998-01-01,AC,-,野球,KONAMI,実況パワフルプロ野球'98EX,,0,0
1998-01-01,AC,-,,KONAMI,スーパービシバシチャンプ,,0,0
1998-01-01,AC,-,,KONAMI,Skier's High,,0,0
1998-01-01,AC,-,,KONAMI,スリルドライブ,,0,0
1998-01-01,AC,-,,KONAMI,ダークホースレジェンド,,0,0
1998-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution,,0,0
1998-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution インターネットランキングVer. / Dance Dance Revolution 1.5,,0,0
1998-01-01,AC,-,,KONAMI,テラバースト (Teraburst),,0,0
1998-01-01,AC,-,,KONAMI,NBA プレイ・バイ・プレイ,,0,0
1998-01-01,AC,-,,KONAMI,ハイパーオリンピック イン ナガノ,,0,0
1998-01-01,AC,-,,KONAMI,バスアングラー,,0,0
1998-01-01,AC,-,,KONAMI,バスアングラー2,,0,0
1998-01-01,AC,-,,KONAMI,バトルトライスト,,0,0
1998-01-01,AC,-,,KONAMI,Heat of Eleven '98,,0,0
1998-01-01,AC,-,,KONAMI,beatmania 2ndMIX,,0,0
1998-01-01,AC,-,,KONAMI,beatmania 3rdMIX,,0,0
1998-01-01,AC,-,,KONAMI,pop'n music,,0,0
1998-01-01,AC,-,,KONAMI,レーシングジャム・チャプターII,,0,0
1999-01-01,AC,-,,KONAMI,ガチャガチャンプ,,0,0
1999-01-01,AC,-,,KONAMI,GUITARFREAKS,,0,0
1999-01-01,AC,-,,KONAMI,GUITARFREAKS 2ndMIX,,0,0
1999-01-01,AC,-,,KONAMI,GUITARFREAKS 2ndMIX Link version,,0,0
1999-01-01,AC,-,SHT,KONAMI,グラディウスIV -復活-,,0,0
1999-01-01,AC,-,,KONAMI,サイレントスコープ,,0,0
1999-01-01,AC,-,,KONAMI,ステップチャンプ,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution 2ndMIX,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution 2ndMIX LINK Version,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution 2ndMIX CLUB Version,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution 2ndMIX CLUB Version 2,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution Solo BASSMIX,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution Solo 2000,,0,0
1999-01-01,AC,-,リズムゲーム,KONAMI,Dance Dance Revolution Best of Cool Dancers,,0,0
