発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1990-10-20,-,3,SHT,セガ,アローフラッシュ,"￥6,000","￥6,000代",0,MD
1990-10-21,-,3,SPT,サンソフト,TEL・TELスタジアム,"￥6,500","￥6,500代",0,MD
1990-10-27,-,3,ACT,セガ,ダイナマイトデューク,"￥6,000","￥6,000代",0,MD
1990-11-02,31,3,SHT,東亜プラン,鮫!鮫!鮫!,"￥6,500","￥6,500代",0,MD
1990-11-16,-,3,SHT,ウルフチーム,グラナダ,"￥6,800","￥7,000代",0,MD
1990-11-21,30,3,ACT,セガ,アイラブミッキーマウスふしぎのお城大冒険,"￥4,800","￥5,000代",10,MD
1990-11-22,-,2,PUZ,ナムコ,メガパネル,"￥4,900","￥5,000代",0,MD
1990-11-25,-,3,PUZ,マイクロネット,ジャンクション,"￥6,000","￥6,000代",0,MD
1990-12-01,-,3,ACT,セガ,シャドーダンサーザ・シークレット・オブ・シノビ,"￥6,000","￥6,000代",0,MD
1990-12-12,-,3,SPT,アスミック,キューティー鈴木のリングサイドエンジェル,"￥6,800","￥7,000代",0,MD
1990-12-14,-,3,ACT,トレコ,アトミックロボキッド,"￥6,800","￥7,000代",0,MD
1990-12-14,-,3,SHT,テクノソフト,エレメンタルマスター,"￥6,800","￥7,000代",0,MD
1990-12-14,-,3,TAB,ゲームアーツ,ぎゅわんぶらあ自己中心派片山まさゆきの麻雀道場,"￥6,800","￥7,000代",0,MD
1990-12-15,-,3,ACT,セガ,まじかるハットのぶっとびターボ!大冒険,"￥5,800","￥6,000代",0,MD
1990-12-18,-,3,SHT,ナムコ,デンジャラスシード,"￥5,800","￥6,000代",0,MD
1990-12-20,-,3,ACT,セガ,クラックダウン,"￥6,000","￥6,000代",0,MD
1990-12-20,-,6,SHT,タイトー,ダライアスII,"￥8,900","￥9,000代",0,MD
1990-12-21,-,3,ADV,メサイヤ,スタークルーザー,"￥7,300","￥7,500代",0,MD
1990-12-21,30,2,RAC,テンゲン,ハードドライビン,"￥5,900","￥6,000代",0,MD
1990-12-21,-,3,SHT,東亜プラン,武者アレスタ,"￥6,800","￥7,000代",0,MD
1990-12-22,-,3,ACT,セガ,モンスターレア,"￥6,000","￥6,000代",0,MD
1990-12-26,-,6,SHT,テレネット,ガイアレス,"￥8,400","￥8,500代",0,MD
1990-12-26,-,3,SHT,東宝,ヘビーユニットメガドライブスペシャル,"￥6,500","￥6,500代",0,MD
1991-01-01,-,3,SPT,日刊スポーツ/データサプライズ/ＶＡＮ,日刊スポーツプロ野球VAN,"￥7,000","￥7,000代",0,MD
1991-01-03,-,3,ACT,セガ,ゲイングランド,"￥6,000","￥6,000代",0,MD
1991-01-25,-,2,ACT,タイトー,ヴォルフィード,"￥4,900","￥5,000代",0,MD
1991-01-25,-,3,SHT,メサイヤ,ジノーグ,"￥6,500","￥6,500代",0,MD
1991-01-31,-,3,SHT,カネコ,エアロブラスターズ,"￥6,000","￥6,000代",0,MD
1991-02-01,-,2,SPT,ビデオシステム,スーパーバレーボール,"￥5,800","￥6,000代",0,MD
1991-02-08,-,3,SPT,ナムコ,レッスルボール,"￥5,800","￥6,000代",7,MD
1991-02-15,-,3,SPT,セガ,バトルゴルファー唯,"￥6,000","￥6,000代",0,MD
1991-02-22,-,4,SHT,トレコ,究極タイガー,"￥7,500","￥7,500代",0,MD
1991-02-24,-,6,SLG,マイクロネット,シーザーの野望,"￥8,800","￥9,000代",0,MD
1991-03-01,-,3,SPT,セガ,ジョー・モンタナフットボール,"￥6,000","￥6,000代",0,MD
1991-03-01,-,3,ACT,セガ,ディックトレイシー,"￥6,000","￥6,000代",0,MD
1991-03-08,-,3,SLG,セガ,バハムート戦記,"￥6,800","￥7,000代",0,MD
1991-03-19,-,6,ADV,ナムコ,ふしぎの海のナディア,"￥6,500","￥6,500代",0,MD
1991-03-22,-,6,ACT,テレネット,ヴァリスIII,"￥8,400","￥8,500代",0,MD
1991-03-22,-,3,ACT,メサイヤ,魔物ハンター妖子第7の警鐘,"￥6,500","￥6,500代",0,MD
1991-03-29,31,6,RPG,セガ,シャイニング＆ザ・ダクネス,"￥8,700","￥8,500代",16,MD
1991-03-29,-,3,SHT,九娯貿易,スーパーエアーウルフ,"￥6,800","￥7,000代",0,MD
1991-03-29,-,6,ACT,データイースト,ミッドナイトレジスタンス,"￥7,800","￥8,000代",0,MD
1991-03-29,-,3,SLG,ウルフチーム,斬夜叉円舞曲,"￥8,500","￥8,500代",0,MD
1991-03-29,-,6,TAB,テレネット,雀偵物語,"￥8,400","￥8,500代",0,MD
1991-04-05,-,3,SHT,アスミック,ヴェリテックス,"￥6,800","￥7,000代",0,MD
1991-04-26,-,3,SLG,メサイヤ,ラングリッサー,"￥7,300","￥7,500代",8,MD
1991-04-26,-,3,ACT,ビスコ,ワードナの森SPECIAL,"￥6,300","￥6,500代",0,MD
1991-04-26,-,4,ACT,ホット・ビィ,火激,"￥7,700","￥7,500代",0,MD
1991-04-27,-,3,PUZ,サンソフト,紫禁城,"￥6,500","￥6,500代",0,MD
1991-04-29,-,6,SLG,セガ,三国志列伝乱世の英雄たち,"￥8,700","￥8,500代",0,MD
1991-05-17,-,3,ACT,セガ,ボナンザブラザーズ,"￥6,000","￥6,000代",0,MD
1991-05-31,-,6,SHT,東亜プラン,ゼロウイング,"￥8,000","￥8,000代",0,MD
