発売日,メモリ,容量(bit),価格,ハード,タイトル,ジャンル,ジョブカテゴリ,カウント
1999-03-04,0,0,🚧,WS,仙界伝  ～TVアニメーション仙界伝封神演義より～,RPG,0,0
1999-03-04,0,0,🚧,WS,対局囲碁　平成棋院,TBL,0,0
1999-03-04,0,0,🚧,WS,誕生 ～ Debut ～ for WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,うずまき  ～呪いシミュレーション～,SLG,0,0
1999-03-04,0,0,🚧,WS,ラングリッサーミレニアム WS  ～The Last Century～,RPG,0,0
1999-03-04,0,0,🚧,WS,線脳 MILLENNIUM,PZL,0,0
1999-03-04,0,0,🚧,WS,ファイナルラップ2000,RAC,0,0
1999-03-04,0,0,🚧,WS,マクロス  ～トゥルー・ラブソング～,SLG,0,0
1999-03-04,0,0,🚧,WS,メタコミセラピー  ねぇ聞いて!,ETC,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT2 第1部　地上激動編,RPG,0,0
1999-03-04,0,0,🚧,WS,燃えろ!!プロ野球 ルーキーズ,SLG,0,0
1999-03-04,0,0,🚧,WS,ポケットファイター,ACT,0,0
1999-03-04,0,0,🚧,WS,三國志 II　for WonderSwan,SLG,0,0
1999-03-04,0,0,🚧,WS,スリザーリンク,PZL,0,0
1999-03-04,0,0,🚧,WS,ロードランナー  For WonderSwan,PZL,0,0
1999-03-04,0,0,🚧,WS,wuz↑b?(ワサビ)プロデュース  ストリートダンサー,ACT,0,0
1999-03-04,0,0,🚧,WS,ボカン伝説  ブタもおだてりゃドロンボー,RPG,0,0
1999-03-04,0,0,🚧,WS,デジタルパートナー,ETC,0,0
1999-03-04,0,0,🚧,WS,HUNTER×HUNTER  ～意志を継ぐ者～,RPG,0,0
1999-03-04,0,0,🚧,WS,グローカルヘキサイト,PZL,0,0
1999-03-04,0,0,🚧,WS,レインボーアイランド  ～パーティズ☆パーティ～,PZL,0,0
1999-03-04,0,0,🚧,WS,WonderWitch 専用カートリッジ,ETC,0,0
1999-03-04,0,0,🚧,WS,SDガンダム Gジェネレーション ギャザービート,SLG,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE ～めざせ海賊王！～,ADV,0,0
1999-03-04,0,0,🚧,WS,名探偵コナン  西の名探偵 最大の危機！？,ADV,0,0
1999-03-04,0,0,🚧,WS,デジモンアドベンチャー02  タッグテイマーズ,RPG,0,0
1999-03-04,0,0,🚧,WS,ロボットワークス（ワンダーボーグ付属カートリッジ）,ETC,0,0
1999-03-04,0,0,🚧,WS,リング∞  (インフィニティ),NOV,0,0
1999-03-04,0,0,🚧,WS,ファイヤープロレスリング  for WonderSwan,SPT,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT2 第２部：宇宙激震篇,RPG,0,0
1999-03-04,0,0,🚧,WS,はたらくチョコボ,SLG,0,0
1999-03-04,0,0,🚧,WS,トランプコレクション2,TBL,0,0
1999-03-04,0,0,🚧,WS,東京魔人學園符咒封録,ETC,0,0
1999-03-04,0,0,🚧,WS,GUNPEY EX,PZL,0,0
1999-03-04,0,0,🚧,WS,そろばんぐ,PZL,0,0
1999-03-04,0,0,🚧,WS,デジモンアドベンチャー02　ディーワンテイマーズ,RPG,0,0
1999-03-04,0,0,🚧,WS,ファイナルファンタジー ワンダースワン,RPG,0,0
1999-03-04,0,0,🚧,WS,ライムライダー・ケロリカン,ACT,0,0
1999-03-04,0,0,🚧,WS,どこでもハムスター３ おでかけサフラン,ETC,0,0
1999-03-04,0,0,🚧,WS,TERRORS 2,NOV,0,0
1999-03-04,0,0,🚧,WS,アナザヘヴン～memory of those days～,NOV,0,0
1999-03-04,0,0,🚧,WS,仙界伝 弐　　～TVアニメーション仙界伝封神演義より～,RPG,0,0
1999-03-04,0,0,🚧,WS,FLASH 恋人クン,PZL,0,0
1999-03-04,0,0,🚧,WS,スーパーロボット大戦 COMPACT2 第3部：銀河決戦篇,RPG,0,0
1999-03-04,0,0,🚧,WS,ワンダークラシック,SPT,0,0
1999-03-04,0,0,🚧,WS,With you ～みつめていたい～,ADV,0,0
1999-03-04,0,0,🚧,WS,ギルティギア プチ,ACT,0,0
1999-03-04,0,0,🚧,WS,機動戦士ガンダム  Vol.1 SIDE7,SLG,0,0
1999-03-04,0,0,🚧,WS,宇宙戦艦ヤマト,SLG,0,0
1999-03-04,0,0,🚧,WS,ウィザードリィ　シナリオ1 狂王の試練場,RPG,0,0
1999-03-04,0,0,🚧,WS,メモリーズオフ　フェスタ,ETC,0,0
1999-03-04,0,0,🚧,WS,SDガンダム英雄伝 騎士伝説,RPG,0,0
1999-03-04,0,0,🚧,WS,SDガンダム英雄伝 武者伝説,RPG,0,0
1999-03-04,0,0,🚧,WS,ダークアイズ　～バトルゲート～,RPG,0,0
1999-03-04,0,0,🚧,WS,WILD CARD,RPG,0,0
1999-03-04,0,0,🚧,WS,ミスタードリラー,ACT,0,0
1999-03-04,0,0,🚧,WS,名探偵コナン 夕暮れの皇女,ADV,0,0
1999-03-04,0,0,🚧,WS,HUNTER×HUNTER　～それぞれの決意～,ETC,0,0
1999-03-04,0,0,🚧,WS,三毛猫ホームズ ゴーストパニック,NOV,0,0
1999-03-04,0,0,🚧,WS,ファイナルファンタジーII,RPG,0,0
1999-03-04,0,0,🚧,WS,ポケットの中の Doraemon,ETC,0,0
1999-03-04,0,0,🚧,WS,落雀,PZL,0,0
1999-03-04,0,0,🚧,WS,幻想魔伝 最遊記 Retribution～陽のあたる場所で～,TBL,0,0
1999-03-04,0,0,🚧,WS,SDガンダム Gジェネレーション ギャザービート2,SLG,0,0
1999-03-04,0,0,🚧,WS,くるパラ,PZL,0,0
1999-03-04,0,0,🚧,WS,ウルトラマン 光の国の使者,ACT,0,0
1999-03-04,0,0,🚧,WS,東風荘,TBL,0,0
1999-03-04,0,0,🚧,WS,ブルーウイングブリッツ,RPG,0,0
1999-03-04,0,0,🚧,WS,デジモンテイマーズ デジモンメドレー,RPG,0,0
1999-03-04,0,0,🚧,WS,LAST ALIVE,NOV,0,0
1999-03-04,0,0,🚧,WS,機動戦士ガンダム Vol.2～JABURO～,SLG,0,0
1999-03-04,0,0,🚧,WS,HUNTER×HUNTER　～導かれし者～,ETC,0,0
1999-03-04,0,0,🚧,WS,From TV animation ONE PIECE ワンピース　～虹の島伝説～,ETC,0,0
1999-03-04,0,0,🚧,WS,STAR HEARTS ～星と大地の使者～,RPG,0,0
1999-03-04,0,0,🚧,WS,STAR HEARTS ～星と大地の使者～　体験版,RPG,0,0
1999-03-04,0,0,🚧,WS,ギルティギアプチ2,ACT,0,0
