発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1987-01-01,MSX,-,32K,カシオ,一寸法師のどんなもんだい,"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2,-,4M,光栄,維新の嵐,￥,￥0代,1,koei+SRAM
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,宇宙戦士「隼」(MOONSWEEPER),"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,タイトー／ニデコ,影の伝説,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,8K,ＨＡＬ研究所,泳いでタンゴ,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,英文ワードプロセッサ,"￥7,800","￥8,000代",1,Mirrored
1985-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,16K,カシオ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,16K,コナミ,王家の谷(KING'SVALLEY),"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,コナミ,王家の谷エルギーザの封印(KING'SVALLEYII),"￥5,800","￥6,000代",1,Konami58KB(SCC)
1988-01-01,MSX,-,1M,コナミ,王家の谷2エルギーザの封印(KING'SVALLEYII),"￥5,800","￥6,000代",1,Konami58KB(SCC)
1984-01-01,MSX,-,不明,リットーミュージック,音感トレーニング,"￥4,800","￥5,000代",1,?
1987-01-01,MSX2,-,1M,コナミ,火の鳥鳳凰編,"￥5,800","￥6,000代",1,Konami48KB(noSCC)
1984-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,花札,"￥6,800","￥7,000代",1,Mirrored
1984-01-01,MSX,-,16K,RAMソフト,花札コイコイ,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,2M,ザインソフト,牙龍王,"￥6,400","￥6,500代",1,ASCII_8KB
1986-01-01,MSX2,-,不明,東芝/東芝ＥＭＩ,絵葉書用ワープロ,"￥9,800","￥10,000代",1,?
1988-01-01,MSX2,-,2M,グレイト,学園物語,￥,￥0代,1,ASCII_16KB
1980-01-01,不明,-,不明,ストラッドフォード,楽しい算数,￥,￥0代,1,?
1985-01-01,MSX,-,1M,ビクター音産,漢字ROM,"￥29,800","￥30,000代",1,Mirrored
1985-01-01,MSX,-,不明,ヤマハ,漢字カセットラベラ,"￥7,800","￥8,000代",1,?
1986-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,漢字テロッパ,"￥25,000","￥25,000代",1,?
1984-01-01,MSX,-,不明,ヤマハ,漢字ワープロユニット,"￥49,800","￥50,000代",1,?
1984-01-01,MSX,-,不明,松下電器産業,漢字ワープロユニット,"￥49,800","￥50,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,漢字住所録,"￥7,800","￥8,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,漢字枠組自在,"￥9,800","￥10,000代",1,?
1985-01-01,MSX,-,不明,マイクロキャビン,管理馬券,"￥3,500","￥3,500代",1,?
1984-01-01,MSX,-,不明,ハドソン,簡易言語データ君,"￥12,800","￥13,000代",1,?
1985-01-01,MSX,-,32K,ソニー,頑張れトラックボーイペイロード,"￥4,900","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,1M,ソニー,奇々怪界,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX2,-,1M,ソニー,棋聖,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM
1984-01-01,MSX,-,16K,バンダイ,機動戦士ガンダム,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ＨＡＬ研究所,機動惑星スティルス,"￥5,600","￥5,500代",1,Mirrored
1987-01-01,MSX,-,1M,チャンピオンソフト,詰碁120関西棋院監修,"￥8,000","￥8,000代",1,ASCII_16KB
1988-01-01,MSX2,-,1M,ポニーキャニオン,居眠り流阿佐田哲也のA級麻雀,"￥5,800","￥6,000代",1,ASCII_16KB
1984-01-01,MSX,-,16K,バンダイ,銀河漂流バイファム,"￥4,800","￥5,000代",1,*0
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,軍人将棋軍神マース,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,1M,エニックス,軽井沢誘拐案内,"￥5,800","￥6,000代",1,ASCII_8KB
1989-01-01,MSX2,-,1M,コナミ,激突ペナントレース2,"￥6,800","￥7,000代",1,Konami58KB(SCC)
1986-01-01,MSX,-,32K,カシオ,賢者の石,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,五目ならべ,"￥5,800","￥6,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,功夫大君,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,ポニーキャニオン,孔雀王,"￥5,800","￥6,000代",1,?
1986-01-01,MSX,-,32K,ハドソン,高橋名人の冒険島,"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2,-,1M,コナミ,魂斗羅,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1987-01-01,MSX,-,1M,コナミ,沙羅曼蛇,"￥6,800","￥7,000代",1,Konami58KB(SCC)
1988-01-01,MSX2,-,4M,マイクロキャビン,殺人倶楽部,￥,￥0代,1,ASCII_8KB
1989-01-01,MSX,-,1M,ナツメ,三つ目がとおる,"￥7,800","￥8,000代",1,ASCII_8KB
1986-01-01,MSX,-,2M,光栄,三國志,"￥12,800","￥13,000代",1,koei+SRAM
1988-01-01,MSX2,-,4M,光栄,三國志,￥,￥0代,1,koei+SRAM
1991-01-01,MSX2,-,8M,光栄,三國志Ⅱ,￥,￥0代,1,koei+SRAM
1986-01-01,MSX,-,32K,カシオ,仔猫の大冒険チビちゃんがいく,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,1M,松下電器産業,辞書データ,￥,￥0代,1,[辞書データ] rom
1987-01-01,MSX2,-,1M,システムソフト,上海,￥,￥0代,1,ASCII_16KB
1987-01-01,MSX2,-,2M,ビクター音産,死霊戦線,"￥8,800","￥9,000代",1,ASCII_8KB+SRAM
1984-01-01,MSX,-,16K,ソニー,実戦四人麻雀,"￥4,000","￥4,000代",1,Mirrored
1985-01-01,MSX,-,不明,松下電器産業,住所録/名刺管理ソフト,"￥8,800","￥9,000代",1,?
1986-01-01,MSX,-,不明,ソニー,渋滞パニックトラフィック,"￥4,900","￥5,000代",1,?
1987-01-01,MSX,-,不明,ランダムハウス,獣神ローガス,"￥5,800","￥6,000代",1,?
1985-01-01,MSX,-,32K,ポニーキャニオン,将棋,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,マイクロ・キャビン,将棋(SHOGI),￥,￥0代,1,Mirrored
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,将棋名人,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,-,1M,日本デクスタ,将軍,"￥7,800","￥8,000代",1,ASCII_8KB+SRAM
1989-01-01,MSX2,-,4M,光栄,信長の野望戦国群雄伝,"￥11,800","￥12,000代",1,koei+SRAM
1991-01-01,MSXTurboR,-,8M,光栄,信長の野望武将風雲録,"￥11,800","￥12,000代",1,koei+SRAM
1987-01-01,MSX2,-,4M,光栄,信長の野望全国版,"￥9,800","￥10,000代",1,koei+SRAM
1987-01-01,MSX,-,2M,光栄,信長の野望全国版,"￥9,800","￥10,000代",1,koei+SRAM
1986-01-01,MSX,-,32K,コナミ,新世SIZER,"￥6,800","￥7,000代",1,[新世SIZER] rom
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,森田和郎のオセロ,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,人魚伝説,"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2,-,4M,光栄,水滸伝天命の誓い,￥,￥0代,1,koei+SRAM
1984-01-01,MSX,-,16K,タイトー／ニデコ,雀フレンド,"￥4,800","￥5,000代",1,*0
1985-01-01,MSX,-,16K,宇宙堂,雀華,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX2,-,1M,ソニー,雀聖,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM
1987-01-01,MSX,-,32K,テクノソフト,雀友,"￥5,400","￥5,500代",1,Mirrored
1987-01-01,MSX,-,1M,ピクセル,生命惑星M36生きていたマザーブレイン,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX2,-,1M,ソニー,聖飢魔IIスペシャル悪魔の逆襲,"￥5,800","￥6,000代",1,ASCII_8KB
1985-01-01,MSX,-,32K,アイレム／アスキー,聖拳アチョー,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,-,1M,アスキー,戦場の狼,"￥5,800","￥6,000代",1,ASCII_8KB
1986-01-01,MSX2,-,1M,アスキー,戦場の狼,"￥5,980","￥6,000代",1,?
1984-01-01,MSX,-,16K,アスキー,倉庫番,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,窓ふき会社のスイングくん,"￥4,800","￥5,000代",1,Mirrored
1992-01-01,MSX2,-,8M,光栄,蒼き狼と白き牝鹿元朝秘史,￥,￥0代,1,koei+SRAM
