発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1989-03-01,PCE,2M,SHT,フェイス,はにい･いんざ･すかい,"￥5,200","￥5,000代",0,30
1989-03-03,PCE,2M,SPT,データイースト,ウイニングショット,"￥5,500","￥5,500代",0,-
1989-03-04,PCE,3M,A-PRG,ハドソン,ダンジョンエクスプローラ(Vol.15),"￥5,800","￥6,000代",0,-
1989-03-17,PCE,2M,RPG,サンソフト,アウトライブ,"￥5,600","￥5,500代",0,-
1989-03-18,PCE,2M,ACT,メサイヤ,改造町人シュビビンマン,"￥5,200","￥5,000代",0,-
1989-03-20,PCE,2M,SHT,エイコム,P-47,"￥5,200","￥5,000代",0,-
1989-03-23,PCE,3M,RAC,パックインビデオ,F1PILOT,"￥6,300","￥6,500代",0,-
1989-03-23,PCE,2M,A-PRG,ビクター音楽産業,死霊戦線,"￥5,500","￥5,500代",0,-
1989-03-28,PCE,2M,SPT,メサイヤ,がんばれ!ゴルフボーイズ,"￥5,300","￥5,500代",0,-
1989-03-31,PCE,2M,SHT,パックインビデオ,ディープブルー海底神話,"￥5,300","￥5,500代",0,-
1989-03-31,PCE,2M,SHT,タイトー,究極タイガー,"￥5,500","￥5,500代",0,33
1989-04-01,PCE,2M,RPG,データイースト,魔界八犬伝SHADA,"￥5,800","￥6,000代",0,-
1989-04-19,PCE,2M,ACT,メサイヤ,エナジー,"￥5,200","￥5,000代",0,-
1989-04-21,PCE,2M,ACT,ナムコ,ワンダーモモ,"￥6,800","￥7,000代",0,-
1989-04-27,PCE,4M,RPG,ハドソン,凄ノ王伝説(Vol.17),"￥6,500","￥6,500代",0,-
1989-05-25,PCE,3M,SPT,ハドソン,パワーゴルフ(Vol.18),"￥5,800","￥6,000代",0,-
1989-05-30,PCE,3M,SPT,ナグザット,ナグザットオープン,"￥6,300","￥6,500代",0,-
1989-05-30,PCE,4M,SPT,ナグザット,ナグザットスタジアム,"￥6,300","￥6,500代",0,-
1989-06-01,PCE,2M,ACT,ナムコ,パックランド,"￥5,200","￥5,000代",0,30
1989-06-19,PCE,3M,ETC,ビデオシステム,わいわい麻雀,"￥5,800","￥6,000代",0,-
1989-06-22,PCE,3M,SPT,ヒューマン,ファイヤープロレスリングコンビネーションタッグ,"￥6,300","￥6,500代",0,-
1989-06-23,PCE,4M,ACT,フェイス,サイバークロス,"￥6,300","￥6,500代",0,-
1989-06-28,PCE,4M,ACT,ビッグクラブ,神武伝承,"￥6,700","￥6,500代",0,-
1989-06-30,PCE,3M,ACT,タイトー,ニンジャウォーリアーズ,"￥6,200","￥6,000代",0,-
1989-07-07,PCE,3M,SHT,ハドソン,ガンヘッド(Vol.19),"￥6,200","￥6,000代",0,30
1989-07-07,PCE,3M,RAC,ナムコ,ファイナルラップツイン,"￥6,200","￥6,000代",0,30
1989-07-14,PCE,2M,SHT,NECアベニュー,サイドアーム,"￥5,400","￥5,500代",0,-
1989-07-28,PCE,2M,ACT,エイコム,武田信玄,"￥5,600","￥5,500代",0,-
1989-08-04,PCE,2M,ADV,マイクロキャビン,めぞん一刻,"￥5,900","￥6,000代",0,-
1989-08-08,PCE,3M,SPT,ハドソン,パワーリーグII(Vol.20),"￥5,800","￥6,000代",0,31
1989-08-10,PCE,2M,ETC,ナグザット,ブレイクイン,"￥5,500","￥5,500代",0,30
1989-08-25,PCE,2M,RAC,NECアベニュー,F1ドリーム,"￥5,400","￥5,500代",0,-
1989-08-25,PCE,4M,SHT,ビッグクラブ,ロックオン,"￥6,700","￥6,500代",0,-
1989-09-01,PCE,4M,ACT,データイースト,ならずもの戦闘部隊ブラッディウルフ,"￥6,500","￥6,500代",0,-
1989-09-08,PCE,4M,SHT,ナムコ,オーダイン,"￥6,800","￥7,000代",0,-
1989-09-15,PCE,3M,ETC,ハドソン,スーパー桃太郎電鉄(Vol.21),"￥5,800","￥6,000代",0,-
1989-09-22,PCE,4M,ACT,NECアベニュー,獣王記,"￥5,800","￥6,000代",0,-
1989-09-29,PCE,2M,ETC,NEC-HE,アーティストツール,"￥5,800","￥6,000代",0,-
1989-09-29,PCE,2M,RPG,メサイヤ,ダブルダンジョン,"￥5,500","￥5,500代",0,-
1989-10-13,PCE,2M,SPT,ナグザット,デジタルチャンプバトルボクシング,"￥5,800","￥6,000代",0,-
1989-10-20,PCE,3M,ACT,トンキンハウス,竜の子ファイター,"￥5,600","￥5,500代",0,-
1989-10-31,PCE,2M,ACT,ハドソン,ドラえもん迷宮大作戦(Vol.22),"￥4,900","￥5,000代",0,-
1989-11-03,PCE,2M,SLG,インテック,都留照人の実戦株式倍バイゲーム,"￥9,800","￥10,000代",0,-
1989-11-17,PCE,3M,A-PRG,ハドソン,ニュートピア(Vol.23),"￥5,800","￥6,000代",0,-
1989-11-17,PCE,4M,ETC,フェイス,麻雀学園東間宗四郎登場,"￥7,980","￥8,000代",0,32
1989-11-22,PCE,3M,SLG,サリオ,大地くんクライシス,"￥6,400","￥6,500代",0,32
1989-11-23,PCE,2M,SPT,ビクター音楽産業,ジャックニクラウスチャンピオンシップゴルフ,"￥6,200","￥6,000代",0,-
1989-11-25,PCE,3M,RAC,タイトー,バリバリ伝説,"￥6,600","￥6,500代",0,-
1989-11-30,PCE,4M,SHT,ハドソン,バトルエース,"￥6,500","￥6,500代",0,-
1989-12-01,PCE,4M,SHT,アイレム,Mr.HELIの大冒険(Vol.2),"￥6,700","￥6,500代",0,-
1989-12-01,PCE,2M,SPT,エイコム,USAプロバスケットボール,"￥5,600","￥5,500代",0,-
1989-12-08,PCE,2M,SPT,クリーム,ブルファイトリングの覇者,"￥6,300","￥6,500代",0,-
1989-12-08,PCE,3M,ACT,アスミック,忍SHINOBI,"￥6,800","￥7,000代",0,-
1989-12-15,PCE,3M,ACT,ハドソン,PC原人(Vol.24),"￥5,800","￥6,000代",0,-
1989-12-15,PCE,2M,SPT,インテック,これがプロ野球'89,"￥5,800","￥6,000代",0,-
1989-12-22,PCE,2M,RAC,パックインビデオ,ナイトライダースペシャル,"￥5,800","￥6,000代",0,-
1989-12-22,PCE,3M,SHT,タイトー,ヘビーユニット,"￥6,600","￥6,500代",0,-
1989-12-22,PCE,3M,RPG,サンソフト,弁慶外伝(Vol.2),"￥6,200","￥6,000代",0,-
1989-12-23,PCE,3M,RAC,ヒューマン,F1トリプルバトル,"￥6,300","￥6,500代",0,-
1989-12-27,PCE,3M,PUZ,タイトー,ヴォルフィード,"￥6,600","￥6,500代",0,30
1990-01-19,PCE,4M,SHT,UPL,アトミックロボキッド(Vol.1),"￥6,700","￥6,500代",0,-
