発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,売り上げ本数TOP50,ハード,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？
1987-09-18,-,4,ACT,アイレム,スペランカーⅡ勇者への挑戦,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-09-18,-,2,ACT,テクモ,つっぱり大相撲,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-09-22,-,4,ACT,ジャレコ,バイオ戦士DANインクリーザーとの闘い,"￥4,900","￥5,000代",0,1,-,-,-,-,-
1987-09-24,-,1,SHT,HAL研究所,スターゲイト,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1987-09-24,-,4,TAB,カプコン,井出洋介名人の実践麻雀,"￥6,500","￥6,500代",0,1,-,-,-,-,-
1987-09-25,-,4,RPG,タイトー,キョンシーズ2,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-09-25,-,4,ACT,コナミ,沙羅曼蛇,"￥4,900","￥5,000代",0,1,🟦青,-,-,-,-
1987-10-01,-,1,SHT,HAL研究所,ミリピート巨大昆虫の逆襲,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1987-10-01,-,4,RPG,トンキンハウス,ロマンシア,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-10-02,-,5,ACT,アイレム,快傑ヤンチャ丸,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-10-09,32,5,RPG,ポニーキャニオン,ウルティマ～恐怖のエクソダス～,"￥5,900","￥6,000代",0,1,-,-,-,-,-
1987-10-13,-,5,ACT,ジャレコ,エスパ冒険隊魔王の砦,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-10-20,-,4,RPG,ケムコ,インドラの光,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-10-23,-,4,RPG,タイトー,ミネルバトンサーガラゴンの復活,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-10-23,-,4,RPG,アスキー,覇邪の封印,"￥5,800","￥6,000代",0,1,-,-,-,-,-
1987-10-26,32,5,RPG,ハドソン,桃太郎伝説,"￥5,800","￥6,000代",100,1,⬜白,-,-,-,-
1987-10-27,-,4,RPG,ホットビィ,星をみるひと,"￥5,300","￥5,500代",0,1,-,-,-,-,18位
1987-10-28,-,5,ETC,バンダイ,カラオケスタジオ専用カセットトップヒット20Vol.1,"￥3,980","￥4,000代",0,1,-,-,-,-,-
1987-10-30,-,4,SPT,ナムコ,サイドポケット,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1987-10-30,-,1,ACT,HAL研究所,ジャウスト,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1987-10-30,-,4,PZL,サンソフト,上海,"￥5,300","￥5,500代",0,1,-,-,-,-,-
1987-11-01,30,4,SPT,任天堂,マイクタイソンパンチアウト,"￥5,500","￥5,500代",0,1,-,-,-,-,-
1987-11-06,-,4,ACT,ナムコ,ルパン三世パンドラの遺産,"￥3,900","￥4,000代",0,1,-,-,-,-,-
1987-11-06,-,4,SLG,ジャレコ,宇宙船コスモキャリア,"￥4,900","￥5,000代",0,1,-,-,-,-,-
