年月,経営動向・景況感,現状・見通,変化,DI,未使用1,未使用4,ジョブカテゴリ,カウント
2011-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,710
2011-04-01,経営動向,-,やや減少,売上高DI,-,-,0,4030
2011-04-01,経営動向,-,変わらない,売上高DI,-,-,0,2080
2011-04-01,経営動向,-,やや増加,売上高DI,-,-,0,2730
2011-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,450
2011-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,1210
2011-05-01,経営動向,-,やや減少,売上高DI,-,-,0,4630
2011-05-01,経営動向,-,変わらない,売上高DI,-,-,0,1820
2011-05-01,経営動向,-,やや増加,売上高DI,-,-,0,2110
2011-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,220
2011-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,850
2011-06-01,経営動向,-,やや減少,売上高DI,-,-,0,4370
2011-06-01,経営動向,-,変わらない,売上高DI,-,-,0,2440
2011-06-01,経営動向,-,やや増加,売上高DI,-,-,0,2030
2011-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,310
2011-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,590
2011-07-01,経営動向,-,やや減少,売上高DI,-,-,0,3290
2011-07-01,経営動向,-,変わらない,売上高DI,-,-,0,2300
2011-07-01,経営動向,-,やや増加,売上高DI,-,-,0,3490
2011-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,330
2011-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,890
2011-08-01,経営動向,-,やや減少,売上高DI,-,-,0,4950
2011-08-01,経営動向,-,変わらない,売上高DI,-,-,0,2110
2011-08-01,経営動向,-,やや増加,売上高DI,-,-,0,1850
2011-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,190
2011-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,1170
2011-09-01,経営動向,-,やや減少,売上高DI,-,-,0,4760
2011-09-01,経営動向,-,変わらない,売上高DI,-,-,0,2210
2011-09-01,経営動向,-,やや増加,売上高DI,-,-,0,1620
2011-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,240
2011-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,880
2011-10-01,経営動向,-,やや減少,売上高DI,-,-,0,4250
2011-10-01,経営動向,-,変わらない,売上高DI,-,-,0,2620
2011-10-01,経営動向,-,やや増加,売上高DI,-,-,0,1940
2011-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,310
2011-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,1360
2011-11-01,経営動向,-,やや減少,売上高DI,-,-,0,5320
2011-11-01,経営動向,-,変わらない,売上高DI,-,-,0,1730
2011-11-01,経営動向,-,やや増加,売上高DI,-,-,0,1420
2011-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,170
2011-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,880
2011-12-01,経営動向,-,やや減少,売上高DI,-,-,0,3440
2011-12-01,経営動向,-,変わらない,売上高DI,-,-,0,2460
2011-12-01,経営動向,-,やや増加,売上高DI,-,-,0,2910
2011-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,320
2012-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,810
2012-01-01,経営動向,-,やや減少,売上高DI,-,-,0,4660
2012-01-01,経営動向,-,変わらない,売上高DI,-,-,0,2530
2012-01-01,経営動向,-,やや増加,売上高DI,-,-,0,1720
2012-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,280
2012-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,660
2012-02-01,経営動向,-,やや減少,売上高DI,-,-,0,3420
2012-02-01,経営動向,-,変わらない,売上高DI,-,-,0,2390
2012-02-01,経営動向,-,やや増加,売上高DI,-,-,0,3060
2012-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,470
2012-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,2280
2012-03-01,経営動向,-,やや減少,売上高DI,-,-,0,4320
2012-03-01,経営動向,-,変わらない,売上高DI,-,-,0,1700
2012-03-01,経営動向,-,やや増加,売上高DI,-,-,0,1330
2012-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,370
2012-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,1270
2012-04-01,経営動向,-,やや減少,売上高DI,-,-,0,4510
2012-04-01,経営動向,-,変わらない,売上高DI,-,-,0,2190
2012-04-01,経営動向,-,やや増加,売上高DI,-,-,0,1830
2012-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,200
2012-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,830
2012-05-01,経営動向,-,やや減少,売上高DI,-,-,0,4130
2012-05-01,経営動向,-,変わらない,売上高DI,-,-,0,2500
2012-05-01,経営動向,-,やや増加,売上高DI,-,-,0,2270
2012-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,270
2012-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,840
2012-06-01,経営動向,-,やや減少,売上高DI,-,-,0,4660
2012-06-01,経営動向,-,変わらない,売上高DI,-,-,0,2080
2012-06-01,経営動向,-,やや増加,売上高DI,-,-,0,2180
2012-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,230
2012-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,1410
2012-07-01,経営動向,-,やや減少,売上高DI,-,-,0,5490
2012-07-01,経営動向,-,変わらない,売上高DI,-,-,0,1850
2012-07-01,経営動向,-,やや増加,売上高DI,-,-,0,1110
2012-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,130
2012-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,1040
2012-08-01,経営動向,-,やや減少,売上高DI,-,-,0,4840
2012-08-01,経営動向,-,変わらない,売上高DI,-,-,0,2350
2012-08-01,経営動向,-,やや増加,売上高DI,-,-,0,1590
2012-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,170
2012-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,920
2012-09-01,経営動向,-,やや減少,売上高DI,-,-,0,5210
2012-09-01,経営動向,-,変わらない,売上高DI,-,-,0,2380
2012-09-01,経営動向,-,やや増加,売上高DI,-,-,0,1240
2012-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,250
2012-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,1130
2012-10-01,経営動向,-,やや減少,売上高DI,-,-,0,5550
2012-10-01,経営動向,-,変わらない,売上高DI,-,-,0,2040
2012-10-01,経営動向,-,やや増加,売上高DI,-,-,0,1200
2012-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,70
2012-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,1170
2012-11-01,経営動向,-,やや減少,売上高DI,-,-,0,5270
2012-11-01,経営動向,-,変わらない,売上高DI,-,-,0,1720
2012-11-01,経営動向,-,やや増加,売上高DI,-,-,0,1610
2012-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,220
2012-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,1160
2012-12-01,経営動向,-,やや減少,売上高DI,-,-,0,4370
2012-12-01,経営動向,-,変わらない,売上高DI,-,-,0,2350
2012-12-01,経営動向,-,やや増加,売上高DI,-,-,0,1880
2012-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,250
2013-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,910
2013-01-01,経営動向,-,やや減少,売上高DI,-,-,0,5250
2013-01-01,経営動向,-,変わらない,売上高DI,-,-,0,2030
2013-01-01,経営動向,-,やや増加,売上高DI,-,-,0,1670
2013-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,140
2013-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,2050
2013-02-01,経営動向,-,やや減少,売上高DI,-,-,0,5450
2013-02-01,経営動向,-,変わらない,売上高DI,-,-,0,1640
2013-02-01,経営動向,-,やや増加,売上高DI,-,-,0,820
2013-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,40
2013-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,950
2013-03-01,経営動向,-,やや減少,売上高DI,-,-,0,4220
2013-03-01,経営動向,-,変わらない,売上高DI,-,-,0,2510
2013-03-01,経営動向,-,やや増加,売上高DI,-,-,0,2090
2013-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,230
2013-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,1350
2013-04-01,経営動向,-,やや減少,売上高DI,-,-,0,4980
2013-04-01,経営動向,-,変わらない,売上高DI,-,-,0,2100
2013-04-01,経営動向,-,やや増加,売上高DI,-,-,0,1500
2013-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,70
2013-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,1150
2013-05-01,経営動向,-,やや減少,売上高DI,-,-,0,4310
2013-05-01,経営動向,-,変わらない,売上高DI,-,-,0,2210
2013-05-01,経営動向,-,やや増加,売上高DI,-,-,0,2290
2013-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,40
2013-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,980
2013-06-01,経営動向,-,やや減少,売上高DI,-,-,0,3370
2013-06-01,経営動向,-,変わらない,売上高DI,-,-,0,2460
2013-06-01,経営動向,-,やや増加,売上高DI,-,-,0,2990
2013-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,190
2013-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,910
2013-07-01,経営動向,-,やや減少,売上高DI,-,-,0,3810
2013-07-01,経営動向,-,変わらない,売上高DI,-,-,0,2300
2013-07-01,経営動向,-,やや増加,売上高DI,-,-,0,2870
2013-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,110
2013-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,620
2013-08-01,経営動向,-,やや減少,売上高DI,-,-,0,3470
2013-08-01,経営動向,-,変わらない,売上高DI,-,-,0,2440
2013-08-01,経営動向,-,やや増加,売上高DI,-,-,0,3220
2013-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,250
2013-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,720
2013-09-01,経営動向,-,やや減少,売上高DI,-,-,0,2950
2013-09-01,経営動向,-,変わらない,売上高DI,-,-,0,2630
2013-09-01,経営動向,-,やや増加,売上高DI,-,-,0,3550
2013-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,160
2013-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,500
2013-10-01,経営動向,-,やや減少,売上高DI,-,-,0,2870
2013-10-01,経営動向,-,変わらない,売上高DI,-,-,0,2400
2013-10-01,経営動向,-,やや増加,売上高DI,-,-,0,3910
2013-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,310
2013-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,350
2013-11-01,経営動向,-,やや減少,売上高DI,-,-,0,2040
2013-11-01,経営動向,-,変わらない,売上高DI,-,-,0,2420
2013-11-01,経営動向,-,やや増加,売上高DI,-,-,0,4540
2013-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,650
2013-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,420
2013-12-01,経営動向,-,やや減少,売上高DI,-,-,0,2820
2013-12-01,経営動向,-,変わらない,売上高DI,-,-,0,2400
2013-12-01,経営動向,-,やや増加,売上高DI,-,-,0,4080
2013-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,270
2014-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,380
2014-01-01,経営動向,-,やや減少,売上高DI,-,-,0,2790
2014-01-01,経営動向,-,変わらない,売上高DI,-,-,0,2670
2014-01-01,経営動向,-,やや増加,売上高DI,-,-,0,4000
2014-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,170
2014-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,290
2014-02-01,経営動向,-,やや減少,売上高DI,-,-,0,2490
2014-02-01,経営動向,-,変わらない,売上高DI,-,-,0,2610
2014-02-01,経営動向,-,やや増加,売上高DI,-,-,0,4230
2014-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,370
2014-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,210
2014-03-01,経営動向,-,やや減少,売上高DI,-,-,0,1130
2014-03-01,経営動向,-,変わらない,売上高DI,-,-,0,1170
2014-03-01,経営動向,-,やや増加,売上高DI,-,-,0,5080
2014-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,2420
2014-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,1860
2014-04-01,経営動向,-,やや減少,売上高DI,-,-,0,4530
2014-04-01,経営動向,-,変わらない,売上高DI,-,-,0,1420
2014-04-01,経営動向,-,やや増加,売上高DI,-,-,0,2110
2014-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,80
2014-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,690
2014-05-01,経営動向,-,やや減少,売上高DI,-,-,0,3190
2014-05-01,経営動向,-,変わらない,売上高DI,-,-,0,1770
2014-05-01,経営動向,-,やや増加,売上高DI,-,-,0,3920
2014-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,430
2014-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,770
2014-06-01,経営動向,-,やや減少,売上高DI,-,-,0,2890
2014-06-01,経営動向,-,変わらない,売上高DI,-,-,0,2640
2014-06-01,経営動向,-,やや増加,売上高DI,-,-,0,3490
2014-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,210
2014-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,690
2014-07-01,経営動向,-,やや減少,売上高DI,-,-,0,3060
2014-07-01,経営動向,-,変わらない,売上高DI,-,-,0,2330
2014-07-01,経営動向,-,やや増加,売上高DI,-,-,0,3580
2014-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,340
2014-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,740
2014-08-01,経営動向,-,やや減少,売上高DI,-,-,0,2170
2014-08-01,経営動向,-,変わらない,売上高DI,-,-,0,2500
2014-08-01,経営動向,-,やや増加,売上高DI,-,-,0,4060
2014-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,530
2014-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,1050
2014-09-01,経営動向,-,やや減少,売上高DI,-,-,0,2860
2014-09-01,経営動向,-,変わらない,売上高DI,-,-,0,2680
2014-09-01,経営動向,-,やや増加,売上高DI,-,-,0,3230
2014-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,180
2014-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,860
2014-10-01,経営動向,-,やや減少,売上高DI,-,-,0,2840
2014-10-01,経営動向,-,変わらない,売上高DI,-,-,0,2840
2014-10-01,経営動向,-,やや増加,売上高DI,-,-,0,3290
2014-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,180
2014-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,790
2014-11-01,経営動向,-,やや減少,売上高DI,-,-,0,3150
2014-11-01,経営動向,-,変わらない,売上高DI,-,-,0,2920
2014-11-01,経営動向,-,やや増加,売上高DI,-,-,0,3060
2014-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,90
2014-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,1020
2014-12-01,経営動向,-,やや減少,売上高DI,-,-,0,2840
2014-12-01,経営動向,-,変わらない,売上高DI,-,-,0,2940
2014-12-01,経営動向,-,やや増加,売上高DI,-,-,0,3100
2014-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,100
2015-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,850
2015-01-01,経営動向,-,やや減少,売上高DI,-,-,0,2600
2015-01-01,経営動向,-,変わらない,売上高DI,-,-,0,2910
2015-01-01,経営動向,-,やや増加,売上高DI,-,-,0,3360
2015-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,270
2015-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,760
2015-02-01,経営動向,-,やや減少,売上高DI,-,-,0,2770
2015-02-01,経営動向,-,変わらない,売上高DI,-,-,0,2770
2015-02-01,経営動向,-,やや増加,売上高DI,-,-,0,3390
2015-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,310
2015-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,2440
2015-03-01,経営動向,-,やや減少,売上高DI,-,-,0,3690
2015-03-01,経営動向,-,変わらない,売上高DI,-,-,0,1730
2015-03-01,経営動向,-,やや増加,売上高DI,-,-,0,2000
2015-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,130
2015-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,270
2015-04-01,経営動向,-,やや減少,売上高DI,-,-,0,1280
2015-04-01,経営動向,-,変わらない,売上高DI,-,-,0,1550
2015-04-01,経営動向,-,やや増加,売上高DI,-,-,0,5490
2015-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,1420
2015-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,180
2015-05-01,経営動向,-,やや減少,売上高DI,-,-,0,1280
2015-05-01,経営動向,-,変わらない,売上高DI,-,-,0,1990
2015-05-01,経営動向,-,やや増加,売上高DI,-,-,0,5710
2015-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,840
2015-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,510
2015-06-01,経営動向,-,やや減少,売上高DI,-,-,0,2440
2015-06-01,経営動向,-,変わらない,売上高DI,-,-,0,3230
2015-06-01,経営動向,-,やや増加,売上高DI,-,-,0,3500
2015-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,320
2015-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,440
2015-07-01,経営動向,-,やや減少,売上高DI,-,-,0,1930
2015-07-01,経営動向,-,変わらない,売上高DI,-,-,0,3380
2015-07-01,経営動向,-,やや増加,売上高DI,-,-,0,4040
2015-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,220
2015-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,360
2015-08-01,経営動向,-,やや減少,売上高DI,-,-,0,1960
2015-08-01,経営動向,-,変わらない,売上高DI,-,-,0,3530
2015-08-01,経営動向,-,やや増加,売上高DI,-,-,0,3930
2015-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,220
2015-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,500
2015-09-01,経営動向,-,やや減少,売上高DI,-,-,0,1760
2015-09-01,経営動向,-,変わらない,売上高DI,-,-,0,3620
2015-09-01,経営動向,-,やや増加,売上高DI,-,-,0,3620
2015-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,500
2015-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,440
2015-10-01,経営動向,-,やや減少,売上高DI,-,-,0,2180
2015-10-01,経営動向,-,変わらない,売上高DI,-,-,0,3200
2015-10-01,経営動向,-,やや増加,売上高DI,-,-,0,3960
2015-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,220
2015-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,750
2015-11-01,経営動向,-,やや減少,売上高DI,-,-,0,2570
2015-11-01,経営動向,-,変わらない,売上高DI,-,-,0,3720
2015-11-01,経営動向,-,やや増加,売上高DI,-,-,0,2790
2015-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,180
2015-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,500
2015-12-01,経営動向,-,やや減少,売上高DI,-,-,0,2790
2015-12-01,経営動向,-,変わらない,売上高DI,-,-,0,3960
2015-12-01,経営動向,-,やや増加,売上高DI,-,-,0,2520
2015-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,230
2016-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,410
2016-01-01,経営動向,-,やや減少,売上高DI,-,-,0,1990
2016-01-01,経営動向,-,変わらない,売上高DI,-,-,0,3890
2016-01-01,経営動向,-,やや増加,売上高DI,-,-,0,3390
2016-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,320
2016-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,280
2016-02-01,経営動向,-,やや減少,売上高DI,-,-,0,1840
2016-02-01,経営動向,-,変わらない,売上高DI,-,-,0,3250
2016-02-01,経営動向,-,やや増加,売上高DI,-,-,0,4100
2016-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,520
2016-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,430
2016-03-01,経営動向,-,やや減少,売上高DI,-,-,0,3050
2016-03-01,経営動向,-,変わらない,売上高DI,-,-,0,3240
2016-03-01,経営動向,-,やや増加,売上高DI,-,-,0,3050
2016-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,240
2016-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,290
2016-04-01,経営動向,-,やや減少,売上高DI,-,-,0,3130
2016-04-01,経営動向,-,変わらない,売上高DI,-,-,0,3410
2016-04-01,経営動向,-,やや増加,売上高DI,-,-,0,2980
2016-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,190
2016-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,540
2016-05-01,経営動向,-,やや減少,売上高DI,-,-,0,4580
2016-05-01,経営動向,-,変わらない,売上高DI,-,-,0,2960
2016-05-01,経営動向,-,やや増加,売上高DI,-,-,0,1820
2016-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,100
2016-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,440
2016-06-01,経営動向,-,やや減少,売上高DI,-,-,0,3350
2016-06-01,経営動向,-,変わらない,売上高DI,-,-,0,3990
2016-06-01,経営動向,-,やや増加,売上高DI,-,-,0,2070
2016-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,150
2016-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,640
2016-07-01,経営動向,-,やや減少,売上高DI,-,-,0,3000
2016-07-01,経営動向,-,変わらない,売上高DI,-,-,0,3550
2016-07-01,経営動向,-,やや増加,売上高DI,-,-,0,2560
2016-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,250
2016-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,1260
2016-08-01,経営動向,-,やや減少,売上高DI,-,-,0,5150
2016-08-01,経営動向,-,変わらない,売上高DI,-,-,0,2330
2016-08-01,経営動向,-,やや増加,売上高DI,-,-,0,1170
2016-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,100
2016-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,1260
2016-09-01,経営動向,-,やや減少,売上高DI,-,-,0,4220
2016-09-01,経営動向,-,変わらない,売上高DI,-,-,0,3010
2016-09-01,経営動向,-,やや増加,売上高DI,-,-,0,1260
2016-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,240
2016-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,540
2016-10-01,経営動向,-,やや減少,売上高DI,-,-,0,2650
2016-10-01,経営動向,-,変わらない,売上高DI,-,-,0,3190
2016-10-01,経営動向,-,やや増加,売上高DI,-,-,0,3330
2016-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,290
2016-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,540
2016-11-01,経営動向,-,やや減少,売上高DI,-,-,0,2770
2016-11-01,経営動向,-,変わらない,売上高DI,-,-,0,3070
2016-11-01,経営動向,-,やや増加,売上高DI,-,-,0,3320
2016-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,300
2016-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,600
2016-12-01,経営動向,-,やや減少,売上高DI,-,-,0,3080
2016-12-01,経営動向,-,変わらない,売上高DI,-,-,0,3430
2016-12-01,経営動向,-,やや増加,売上高DI,-,-,0,2840
2016-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,50
2017-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,800
2017-01-01,経営動向,-,やや減少,売上高DI,-,-,0,3330
2017-01-01,経営動向,-,変わらない,売上高DI,-,-,0,3730
2017-01-01,経営動向,-,やや増加,売上高DI,-,-,0,2140
2017-01-01,経営動向,-,かなり増加,売上高DI,-,-,0,0
2017-02-01,経営動向,-,かなり減少,売上高DI,-,-,0,1520
2017-02-01,経営動向,-,やや減少,売上高DI,-,-,0,4900
2017-02-01,経営動向,-,変わらない,売上高DI,-,-,0,2630
2017-02-01,経営動向,-,やや増加,売上高DI,-,-,0,960
2017-02-01,経営動向,-,かなり増加,売上高DI,-,-,0,0
2017-03-01,経営動向,-,かなり減少,売上高DI,-,-,0,890
2017-03-01,経営動向,-,やや減少,売上高DI,-,-,0,4460
2017-03-01,経営動向,-,変わらない,売上高DI,-,-,0,2970
2017-03-01,経営動向,-,やや増加,売上高DI,-,-,0,1680
2017-03-01,経営動向,-,かなり増加,売上高DI,-,-,0,0
2017-04-01,経営動向,-,かなり減少,売上高DI,-,-,0,660
2017-04-01,経営動向,-,やや減少,売上高DI,-,-,0,3570
2017-04-01,経営動向,-,変わらない,売上高DI,-,-,0,3190
2017-04-01,経営動向,-,やや増加,売上高DI,-,-,0,2440
2017-04-01,経営動向,-,かなり増加,売上高DI,-,-,0,140
2017-05-01,経営動向,-,かなり減少,売上高DI,-,-,0,850
2017-05-01,経営動向,-,やや減少,売上高DI,-,-,0,4550
2017-05-01,経営動向,-,変わらない,売上高DI,-,-,0,2700
2017-05-01,経営動向,-,やや増加,売上高DI,-,-,0,1850
2017-05-01,経営動向,-,かなり増加,売上高DI,-,-,0,50
2017-06-01,経営動向,-,かなり減少,売上高DI,-,-,0,1070
2017-06-01,経営動向,-,やや減少,売上高DI,-,-,0,4070
2017-06-01,経営動向,-,変わらない,売上高DI,-,-,0,3220
2017-06-01,経営動向,-,やや増加,売上高DI,-,-,0,1530
2017-06-01,経営動向,-,かなり増加,売上高DI,-,-,0,110
2017-07-01,経営動向,-,かなり減少,売上高DI,-,-,0,1020
2017-07-01,経営動向,-,やや減少,売上高DI,-,-,0,4590
2017-07-01,経営動向,-,変わらない,売上高DI,-,-,0,2650
2017-07-01,経営動向,-,やや増加,売上高DI,-,-,0,1680
2017-07-01,経営動向,-,かなり増加,売上高DI,-,-,0,50
2017-08-01,経営動向,-,かなり減少,売上高DI,-,-,0,1030
2017-08-01,経営動向,-,やや減少,売上高DI,-,-,0,3730
2017-08-01,経営動向,-,変わらない,売上高DI,-,-,0,3330
2017-08-01,経営動向,-,やや増加,売上高DI,-,-,0,1760
2017-08-01,経営動向,-,かなり増加,売上高DI,-,-,0,150
2017-09-01,経営動向,-,かなり減少,売上高DI,-,-,0,970
2017-09-01,経営動向,-,やや減少,売上高DI,-,-,0,3420
2017-09-01,経営動向,-,変わらない,売上高DI,-,-,0,3110
2017-09-01,経営動向,-,やや増加,売上高DI,-,-,0,2400
2017-09-01,経営動向,-,かなり増加,売上高DI,-,-,0,100
2017-10-01,経営動向,-,かなり減少,売上高DI,-,-,0,1870
2017-10-01,経営動向,-,やや減少,売上高DI,-,-,0,4090
2017-10-01,経営動向,-,変わらない,売上高DI,-,-,0,3010
2017-10-01,経営動向,-,やや増加,売上高DI,-,-,0,930
2017-10-01,経営動向,-,かなり増加,売上高DI,-,-,0,100
2017-11-01,経営動向,-,かなり減少,売上高DI,-,-,0,1130
2017-11-01,経営動向,-,やや減少,売上高DI,-,-,0,3840
2017-11-01,経営動向,-,変わらない,売上高DI,-,-,0,3050
2017-11-01,経営動向,-,やや増加,売上高DI,-,-,0,1970
2017-11-01,経営動向,-,かなり増加,売上高DI,-,-,0,0
2017-12-01,経営動向,-,かなり減少,売上高DI,-,-,0,610
2017-12-01,経営動向,-,やや減少,売上高DI,-,-,0,3110
2017-12-01,経営動向,-,変わらない,売上高DI,-,-,0,3320
2017-12-01,経営動向,-,やや増加,売上高DI,-,-,0,2760
2017-12-01,経営動向,-,かなり増加,売上高DI,-,-,0,200
2018-01-01,経営動向,-,かなり減少,売上高DI,-,-,0,760
2018-01-01,経営動向,-,やや減少,売上高DI,-,-,0,2990
2018-01-01,経営動向,-,変わらない,売上高DI,-,-,0,3810
2018-01-01,経営動向,-,やや増加,売上高DI,-,-,0,2180
