日付,💔5歳未満児の死亡数(1000人中),👶子供の数(女性1人中),平均寿命,国名,地域,未使用,人口密度,カウント,🏥医療費:1人当たりのGDPに対する割合%,💰所得(平均年収):ドル,輸出:1人当たりの輸出:GDPに対する割合%,輸入:1人当たりの輸出:GDPに対する割合%,💰一人当たりのGDP:ドル,📈インフレ:総GDPの年間成長率:%
2024-09-01,6.9,1.31,76.8,Bosnia & Herzegovina,ヨーロッパ,-,63,1,11.1,9720,29.7,51.3,4610,1.4
2024-09-01,52.5,2.88,57.1,Botswana,アフリカ,-,5,1,8.3,13300,43.6,51.3,6350,8.92
2024-09-01,19.8,1.8,74.2,Brazil,南アメリカ,-,25,1,9.01,14500,10.7,11.8,11200,8.41
2024-09-01,10.5,1.84,77.1,Brunei,西太平洋,-,78,1,2.84,80600,67.4,28,35300,16.7
2024-09-01,10.8,1.57,73.9,Bulgaria,ヨーロッパ,-,61,1,6.87,15300,50.2,53,6840,1.11
2024-09-01,116,5.87,57.9,Burkina Faso,アフリカ,-,86,1,6.74,1430,19.2,29.6,575,6.81
2024-09-01,93.6,6.26,57.7,Burundi,アフリカ,-,476,1,11.6,764,8.92,39.2,231,12.3
2024-09-01,44.4,2.88,66.1,Cambodia,西太平洋,-,94,1,5.68,2520,54.1,59.5,786,3.12
2024-09-01,108,5.11,57.3,Cameroon,アフリカ,-,60,1,5.13,2660,22.2,27,1310,1.91
2024-09-01,5.6,1.63,81.3,Canada,北アメリカ,-,4,1,11.3,40700,29.1,31,47400,2.87
2024-09-01,26.5,2.67,72.5,Cape Verde,アフリカ,-,148,1,4.09,5830,32.7,61.8,3310,0.505
2024-09-01,149,5.21,47.5,Central African Republic,アフリカ,-,9,1,3.98,888,11.8,26.5,446,2.01
2024-09-01,150,6.59,56.5,Chad,アフリカ,-,14,1,4.53,1930,36.8,43.5,897,6.39
2024-09-01,8.7,1.88,79.1,Chile,南アメリカ,-,26,1,7.96,19400,37.7,31.3,12900,8.96
2024-09-01,15.7,1.59,74.6,China,西太平洋,-,149,1,5.07,9530,26.3,22.6,4560,6.94
2024-09-01,18.6,2.01,76.4,Colombia,南アメリカ,-,46,1,7.59,10900,15.9,17.8,6250,3.86
2024-09-01,88.2,4.75,65.9,Comoros,アフリカ,-,381,1,4.51,1410,16.5,51.7,769,3.87
2024-09-01,116,6.54,57.5,Congo Dem. Rep.,アフリカ,-,44,1,7.91,609,41.1,49.6,334,20.8
2024-09-01,63.9,4.95,60.4,Congo,アフリカ,-,18,1,2.46,5190,85.1,54.7,2740,20.7
2024-09-01,10.2,1.92,80.4,Costa Rica,中央アメリカ,-,102,1,10.9,13000,33.2,35,8200,6.57
2024-09-01,111,5.27,56.3,Cote dIvoire,アフリカ,-,90,1,5.3,2690,50.6,43.3,1220,5.39
2024-09-01,5.5,1.55,76.3,Croatia,ヨーロッパ,-,71,1,7.76,20100,37.6,38.1,13500,0.821
2024-09-01,3.6,1.42,79.9,Cyprus,ヨーロッパ,-,136,1,5.97,33900,50.2,57.5,30800,2.01
2024-09-01,3.4,1.51,77.5,Czech Republic,ヨーロッパ,-,133,1,7.88,28300,66,62.9,19800,-1.43
2024-09-01,4.1,1.87,79.5,Denmark,ヨーロッパ,-,138,1,11.4,44000,50.5,43.6,58000,3.22
2024-09-01,34.4,2.6,74.6,Dominican Republic,中央アメリカ,-,233,1,6.22,11100,22.7,33.3,5450,5.44
2024-09-01,25.1,2.66,76.7,Ecuador,南アメリカ,-,71,1,8.06,9350,27.9,32.4,4660,7.47
2024-09-01,29.1,3.19,70.5,Egypt,東地中海,-,112,1,4.66,9860,21.3,26.6,2600,10.1
2024-09-01,19.2,2.27,74.1,El Salvador,中央アメリカ,-,303,1,6.91,7300,26.9,46.6,2990,2.65
2024-09-01,111,5.21,60.9,Equatorial Guinea,アフリカ,-,61,1,4.48,33700,85.8,58.9,17100,24.9
2024-09-01,55.2,4.61,61.7,Eritrea,アフリカ,-,31,1,2.66,1420,4.79,23.3,482,11.6
2024-09-01,4.5,1.72,76,Estonia,ヨーロッパ,-,29,1,6.03,22700,75.1,68.7,14600,1.74
2024-09-01,24.1,2.67,65.3,Fiji,西太平洋,-,51,1,4.86,7350,57.8,63.9,3650,4.23
2024-09-01,3,1.87,80,Finland,ヨーロッパ,-,16,1,8.95,39800,38.7,37.4,46200,0.351
2024-09-01,4.2,2.03,81.4,France,ヨーロッパ,-,117,1,11.9,36900,26.8,28.1,40600,1.05
2024-09-01,63.7,4.08,62.9,Gabon,アフリカ,-,9,1,3.5,15400,57.7,18.9,8750,16.6
2024-09-01,80.3,5.71,65.5,Gambia,アフリカ,-,246,1,5.69,1660,23.8,42.7,562,4.3
2024-09-01,16.5,1.92,72.8,Georgia,ヨーロッパ,-,53,1,10.1,6730,35,52.8,2960,8.55
2024-09-01,4.2,1.39,80.1,Germany,ヨーロッパ,-,233,1,11.6,40400,42.3,37.1,41800,0.758
2024-09-01,74.7,4.27,62.2,Ghana,アフリカ,-,143,1,5.22,3060,29.5,45.9,1310,16.6
2024-09-01,3.9,1.48,80.4,Greece,ヨーロッパ,-,78,1,10.3,28700,22.1,30.7,26900,0.673
2024-09-01,14.6,2.24,71.3,Grenada,中央アメリカ,-,366,1,5.86,11200,23.8,49.2,7370,0.48
2024-09-01,35.4,3.38,71.3,Guatemala,中央アメリカ,-,166,1,6.85,6710,25.8,36.3,2830,5.14
2024-09-01,109,5.34,58,Guinea,アフリカ,-,58,1,4.93,1190,30.3,43.2,648,16.1
2024-09-01,114,5.05,55.6,Guinea-Bissau,アフリカ,-,60,1,8.5,1390,14.9,35.2,547,2.97
2024-09-01,37.6,2.65,65.5,Guyana,南アメリカ,-,4,1,5.38,5840,51.4,79.1,3040,5.73
2024-09-01,208,3.33,32.1,Haiti,中央アメリカ,-,423,1,6.91,1500,15.3,64.7,662,5.45
2024-09-01,6,1.25,74.5,Hungary,ヨーロッパ,-,109,1,7.33,22300,81.8,76.5,13100,2.33
2024-09-01,2.6,2.2,82,Iceland,ヨーロッパ,-,4,1,9.4,38800,53.4,43.3,41900,5.47
2024-09-01,58.8,2.6,66.2,India,東南アジア,-,435,1,4.05,4410,22.6,27.1,1350,8.98
2024-09-01,33.3,2.48,69.9,Indonesia,東南アジア,-,145,1,2.61,8430,24.3,22.4,3110,15.3
2024-09-01,19.3,1.76,74.5,Iran,東地中海,-,55,1,5.6,17400,24.4,19.4,6530,15.9
2024-09-01,36.9,4.56,67.2,Iraq,東地中海,-,105,1,8.41,12700,39.4,34.1,4500,16.6
2024-09-01,4.2,2.05,80.4,Ireland,ヨーロッパ,-,72,1,9.19,45700,103,86.5,48700,-3.22
2024-09-01,4.6,3.03,81.4,Israel,ヨーロッパ,-,416,1,7.63,29600,35,32.9,30600,1.77
2024-09-01,4,1.46,81.7,Italy,ヨーロッパ,-,195,1,9.53,36200,25.2,27.2,35800,0.319
2024-09-01,18.1,2.17,74.7,Jamaica,中央アメリカ,-,257,1,4.81,8000,31.3,49.6,4680,9.81
2024-09-01,3.2,1.39,82.8,Japan,西太平洋,-,326,1,9.49,35800,15,13.6,44500,-1.9
2024-09-01,21.1,3.66,75.8,Jordan,東地中海,-,127,1,8.04,9470,48.3,69,3680,8.43
2024-09-01,21.5,2.6,68.4,Kazakhstan,ヨーロッパ,-,7,1,4.29,20100,44.2,29.9,9070,19.5
2024-09-01,62.2,4.37,62.8,Kenya,アフリカ,-,93,1,4.75,2480,20.7,33.6,967,2.09
2024-09-01,62.7,3.84,60.7,Kiribati,西太平洋,-,184,1,11.3,1730,13.3,79.9,1490,1.52
2024-09-01,10.8,2.21,78.2,Kuwait,東地中海,-,242,1,2.63,75200,66.7,30.4,38500,11.2
2024-09-01,29.6,3.1,68.5,Kyrgyzstan,ヨーロッパ,-,34,1,6.18,2790,51.6,81.7,880,10
2024-09-01,78.9,3.15,63.8,Laos,西太平洋,-,32,1,4.47,3980,35.4,49.3,1140,9.2
2024-09-01,7.8,1.36,73.1,Latvia,ヨーロッパ,-,28,1,6.68,18300,53.7,55.1,11300,-0.812
2024-09-01,10.3,1.61,79.8,Lebanon,東地中海,-,512,1,7.03,16300,35.8,60.2,8860,0.238
2024-09-01,99.7,3.3,46.5,Lesotho,アフリカ,-,77,1,11.1,2380,39.4,101,1170,4.15
2024-09-01,89.3,5.02,60.8,Liberia,アフリカ,-,49,1,11.8,700,19.1,92.6,327,5.47
2024-09-01,16.6,2.41,76.1,Libya,東地中海,-,4,1,3.88,29600,65.6,42.1,12100,14.2
2024-09-01,6.1,1.5,73.2,Lithuania,ヨーロッパ,-,42,1,7.04,21100,65.3,67.2,12000,2.38
2024-09-01,2.8,1.63,81.3,Luxembourg,ヨーロッパ,-,253,1,7.77,91700,175,142,105000,3.62
2024-09-01,10.4,1.47,74,Macedonia,ヨーロッパ,-,81,1,7.09,11400,39.8,58.1,4540,2.04
2024-09-01,62.2,4.6,60.8,Madagascar,アフリカ,-,52,1,3.77,1390,25,43,413,8.79
2024-09-01,90.5,5.31,53.1,Malawi,アフリカ,-,221,1,6.59,1030,22.8,34.9,459,12.1
2024-09-01,7.9,2.15,74.5,Malaysia,西太平洋,-,104,1,4.39,21100,86.9,71,9070,7.27
2024-09-01,13.2,2.23,77.9,Maldives,東南アジア,-,1750,1,6.33,10500,77.6,65.4,7100,2.88
2024-09-01,137,6.55,59.5,Mali,アフリカ,-,19,1,4.98,1870,22.8,35.1,708,4.37
2024-09-01,6.8,1.36,80.3,Malta,ヨーロッパ,-,1700,1,8.65,28300,153,154,21100,3.83
2024-09-01,97.4,4.98,68.2,Mauritania,アフリカ,-,5,1,4.41,3320,50.7,61.2,1200,18.9
2024-09-01,15,1.57,73.4,Mauritius,アフリカ,-,657,1,6,15900,51.2,62.2,8000,1.13
2024-09-01,40,3.46,65.4,Micronesia Fed. Sts.,西太平洋,-,164,1,14.2,3340,23.5,81,2860,3.8
2024-09-01,17.2,1.27,69.7,Moldova,ヨーロッパ,-,102,1,11.7,3910,39.2,78.5,1630,11.1
2024-09-01,26.1,2.64,66.2,Mongolia,西太平洋,-,2,1,5.44,7710,46.7,56.7,2650,39.2
2024-09-01,6.8,1.77,76.4,Montenegro,ヨーロッパ,-,45,1,9.11,14000,37,62.7,6680,1.6
2024-09-01,33.5,2.58,73.5,Morocco,東地中海,-,53,1,5.2,6440,32.2,43,2830,0.976
2024-09-01,101,5.56,54.5,Mozambique,アフリカ,-,42,1,5.21,918,31.5,46.2,419,7.64
2024-09-01,64.4,2.41,66.8,Myanmar,東南アジア,-,81,1,1.97,3720,0.109,0.0659,988,7.04
2024-09-01,56,3.6,58.6,Namibia,アフリカ,-,3,1,6.78,8460,47.8,60.7,5190,3.56
2024-09-01,47,2.61,68.3,Nepal,東南アジア,-,210,1,5.25,1990,9.58,36.4,592,15.1
2024-09-01,4.5,1.79,80.7,Netherlands,ヨーロッパ,-,436,1,11.9,45500,72,63.6,50300,0.848
2024-09-01,6.2,2.17,80.9,New Zealand,西太平洋,-,20,1,10.1,32300,30.3,28,33700,3.73
2024-09-01,123,7.49,58.8,Niger,アフリカ,-,21,1,5.16,814,22.2,49.1,348,2.55
2024-09-01,130,5.84,60.5,Nigeria,アフリカ,-,249,1,5.07,5150,25.3,17.4,2330,104
2024-09-01,3.2,1.95,81,Norway,ヨーロッパ,-,14,1,9.48,62300,39.7,28.5,87800,5.95
2024-09-01,11.7,2.9,76.1,Oman,東地中海,-,15,1,2.77,45300,65.7,41.2,19300,15.6
2024-09-01,92.1,3.85,65.3,Pakistan,東地中海,-,302,1,2.2,4280,13.5,19.4,1040,10.9
2024-09-01,19.7,2.62,77.8,Panama,中央アメリカ,-,59,1,8.1,15400,70,78.2,8080,2.59
2024-09-01,24.1,2.73,74.1,Paraguay,南アメリカ,-,15,1,5.87,7290,55.1,51.5,3230,6.1
2024-09-01,20.3,2.54,77.9,Peru,南アメリカ,-,27,1,5.08,9960,27.8,23.8,5020,5.71
2024-09-01,31.9,3.16,69,Philippines,西太平洋,-,391,1,3.61,5600,34.8,36.6,2130,4.22
2024-09-01,6,1.41,76.3,Poland,ヨーロッパ,-,120,1,7.46,21800,40.1,42.1,12600,1.66
2024-09-01,3.9,1.39,79.8,Portugal,ヨーロッパ,-,111,1,11,27200,29.9,37.4,22500,0.643
2024-09-01,9,2.07,79.5,Qatar,東地中海,-,233,1,1.81,125000,62.3,23.8,70300,6.98
2024-09-01,11.5,1.59,73.7,Romania,ヨーロッパ,-,83,1,5.58,17800,32.6,38.8,8230,3.53
2024-09-01,10,1.57,69.2,Russian Federation,ヨーロッパ,-,8,1,5.08,23100,29.2,21.1,10700,14.2
2024-09-01,63.6,4.51,64.6,Rwanda,アフリカ,-,535,1,10.5,1350,12,30,563,2.61
2024-09-01,18.9,4.34,71.5,Samoa,西太平洋,-,79,1,6.47,5400,29.2,53.1,3450,1.72
2024-09-01,15.7,2.96,75.1,Saudi Arabia,東地中海,-,17,1,4.29,45400,49.6,33,19300,17.2
2024-09-01,66.8,5.06,64,Senegal,アフリカ,-,90,1,5.66,2180,24.9,40.3,1000,1.85
2024-09-01,7.6,1.4,74.7,Serbia,ヨーロッパ,-,81,1,10.4,12700,32.9,47.9,5410,5.88
2024-09-01,14.4,2.17,73.4,Seychelles,アフリカ,-,236,1,3.4,20400,93.8,108,10800,-4.21
2024-09-01,160,5.2,55,Sierra Leone,アフリカ,-,122,1,13.1,1220,16.8,34.5,399,17.2
