日付,性別(候補者),年齢(候補者),政党(候補者),立候補者,市区町村,職業(候補者),職業カテゴリ,カウント
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),瑞穂町,元介護職員,0,2
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),日の出町,元介護職員,0,1
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),檜原村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),奥多摩町,元介護職員,0,1
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),大島町,元介護職員,0,1
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),利島村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),新島村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),神津島村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),三宅村,元介護職員,0,1
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),御蔵島村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),八丈町,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),青ヶ島村,元介護職員,0,0
2024-07-07,1,39,ＮＨＫから国民を守る党,南 俊輔♂(39),小笠原村,元介護職員,0,0
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),千代田区,起業コンサルティング業,0,2
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),中央区,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),港区,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),新宿区,起業コンサルティング業,0,6
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),文京区,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),台東区,起業コンサルティング業,0,4
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),墨田区,起業コンサルティング業,0,23
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),江東区,起業コンサルティング業,0,14
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),品川区,起業コンサルティング業,0,8
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),目黒区,起業コンサルティング業,0,12
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),大田区,起業コンサルティング業,0,16
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),世田谷区,起業コンサルティング業,0,24
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),渋谷区,起業コンサルティング業,0,6
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),中野区,起業コンサルティング業,0,8
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),杉並区,起業コンサルティング業,0,14
2024-07-07,2,41,ＮＨＫから国民を守る党,福原 志瑠美♀(41),豊島区,起業コンサルティング業,0,6
