発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
1999-03-19,1,3,SPT,ボトムアップ,64大相撲2,"￥6,980","￥7,000代",0
1999-03-19,2,2,RAC,ケムコ,TOPGEAROVERDRIVE,"￥6,980","￥7,000代",0
1999-03-19,7,3,TAB,タカラ,人生ゲーム64,"￥6,800","￥7,000代",0
1999-03-19,1,3,SPT,イマジニア,超空間ナイタープロ野球キング2,"￥6,800","￥7,000代",0
1999-03-21,6,3,ETC,任天堂,ポケモンスナップ,"￥6,800","￥7,000代",50
1999-03-25,8,3,SPT,コナミ,実況パワフルプロ野球6,"￥7,800","￥8,000代",32
1999-03-26,1,1,SPT,アテナ,スーパーボウリング,"￥6,800","￥7,000代",0
1999-04-09,1,3,SLG,ボトムアップ,おねがいモンスター,"￥6,980","￥7,000代",0
1999-04-28,1,3,SLG,コナミ,実況G1ステイブル,"￥7,800","￥8,000代",0
1999-04-30,6,7,ETC,任天堂,ポケモンスタジアム2,"￥5,800","￥6,000代",71
1999-05-28,2,2,ACT,ハドソン,ラストレジオンUX,"￥6,800","￥7,000代",0
1999-06-03,1,2,SPT,コナミ,NBAINTHEZONE2,"￥7,800","￥8,000代",0
1999-06-11,1,2,RPG,イマジニア,ズール～魔獣使い伝説～,"￥6,800","￥7,000代",0
1999-06-11,7,4,SPT,任天堂,マリオゴルフ64,"￥6,800","￥7,000代",47
1999-06-18,1,7,ACT,gemzi,バイオレンスキラー～TUROKNEWGENERATION～,"￥7,800","￥8,000代",0
1999-06-25,4,7,ACT,バンダイ,NEONGENESISEVANGERION,"￥8,800","￥9,000代",0
1999-07-09,1,3,RPG,イマジニア,エルテイルモンスターズ,"￥6,800","￥7,000代",0
1999-07-14,7,8,SLG,任天堂,オウガバトル64PersonofLordlyCaliber,"￥7,800","￥8,000代",20
1999-07-16,5,7,SLG,バンダイ,PDウルトラマンバトルコレクション64,"￥6,800","￥7,000代",0
1999-07-21,4,7,RAC,任天堂,スターウォーズエピソード1レーサー,"￥6,800","￥7,000代",9
1999-07-29,8,3,SPT,コナミ,実況Jリーグ1999パーフェクトストライカー2,"￥7,800","￥8,000代",11
1999-07-30,2,1,PUZ,バンプレスト,ロードランナー3D,"￥6,800","￥7,000代",0
1999-07-30,4,7,SLG,タイトー,電車でGO!64,"￥6,800","￥7,000代",0
1999-08-05,8,3,RPG,コナミ,HYBRIDHEAVEN,"￥7,800","￥8,000代",0
1999-08-06,1,1,RAC,イマジニア,Rally'99,"￥6,800","￥7,000代",0
1999-08-13,2,3,ADV,ケムコ,SHADOWGATE64,"￥6,980","￥7,000代",0
1999-08-27,2,3,SHT,任天堂,スターウォーズ出撃!ローグ中隊,"￥6,800","￥7,000代",0
1999-08-27,1,3,ACT,イマジニア,格闘伝承～F-CUPMANIAX～,"￥6,800","￥7,000代",0
1999-09-03,2,2,SHT,トレジャー,爆裂無敵バンガイオー,"￥5,800","￥6,000代",0
1999-09-10,1,2,RAC,アクレイムジャパン,エクストリームG2,"￥5,800","￥6,000代",0
1999-09-23,1,3,ACT,コーエー,WINBACK,"￥7,800","￥8,000代",0
1999-10-01,2,2,ACT,タカラ,ビーストウォーズメタルス64,"￥7,800","￥8,000代",0
1999-10-14,2,1,RAC,スパイク,V-RALLYEDITION99,"￥7,800","￥8,000代",0
1999-10-22,2,7,ADV,アテナ,夜光虫2～殺人行路～,"￥6,800","￥7,000代",0
1999-10-29,8,7,SLG,バンプレスト,スーパーロボット大戦64,"￥7,800","￥8,000代",12
1999-11-05,0,1,TAB,アルトロン,64花札～天使の約束～,"￥6,800","￥7,000代",0
1999-11-05,1,1,TAB,カルチャーブレーン,プロ麻雀「兵」64,"￥6,480","￥6,500代",0
1999-11-26,0,3,RAC,エレクトロニック・アーツ・スクウェア,ビートルアドベンチャーレーシング,"￥6,800","￥7,000代",0
1999-12-01,6,7,ACT,任天堂,スターツインズ,"￥6,800","￥7,000代",0
1999-12-03,2,2,PUZ,コンパイル,ぷよぷよ～んパーティ,"￥5,980","￥6,000代",0
1999-12-03,2,3,ACT,ハドソン,爆ボンバーマン2,"￥6,800","￥7,000代",12
1999-12-08,2,3,ACT,任天堂,カスタムロボ,"￥6,800","￥7,000代",22
1999-12-10,4,7,ACT,任天堂,ドンキーコング64,"￥7,800","￥8,000代",110
1999-12-17,2,7,TAB,任天堂,マリオパーティ2,"￥5,800","￥6,000代",107
1999-12-24,3,2,RAC,タカラ,チョロQ642ハチャメチャグランプリレース,"￥6,800","￥7,000代",0
1999-12-24,4,7,RPG,ハドソン,ロボットポンコッツ64七つの海のカラメル,"￥6,800","￥7,000代",0
1999-12-25,8,3,TAB,コナミ,ゴエモンもののけ双六,"￥7,800","￥8,000代",0
1999-12-25,2,3,ACT,コナミ,悪魔城ドラキュラ黙示録外伝～レジェンドオブコーネル～,"￥7,800","￥8,000代",0
2000-01-28,7,7,SPT,アスミック・エース・エンタテインメント,バーチャル・プロレス2～王道継承～,"￥6,980","￥7,000代",0
2000-01-28,7,9,ACT+ADV,カプコン,バイオハザード2,"￥7,800","￥8,000代",0
2000-02-04,0,2,RAC,ケムコ,トップギア・ラリー2,"￥6,980","￥7,000代",0
2000-03-17,1,3,RAC,ケムコ,TOPGEARHYPER-BIKE,"￥6,980","￥7,000代",0
2000-03-24,7,7,ACT,任天堂,星のカービィ64,"￥6,800","￥7,000代",107
2000-03-31,7,3,SPT,任天堂,糸井重里のバス釣りNo.1決定版!,"￥6,800","￥7,000代",0
2000-04-07,1,3,RPG,エポック社,ガントレットレジェンド,"￥6,800","￥7,000代",0
2000-04-07,0,3,ADV,ケムコ,大刀～DAIKATANA～,"￥6,980","￥7,000代",0
2000-04-21,0,2,TAB,セタ,井出洋介の麻雀塾,"￥5,800","￥6,000代",0
2000-04-21,0,1,ADV,カルチャーブレーン,忍たま乱太郎64ゲームギャラリー,"￥6,480","￥6,500代",0
2000-04-27,6,7,ACT+RPG,任天堂,ゼルダの伝説ムジュラの仮面,"￥5,800","￥6,000代",60
2000-04-28,0,6,SLG,ビスコ,BassRush～ECOGEAR,"￥7,800","￥8,000代",0
2000-04-29,0,3,SPT,コナミ,実況パワフルプロ野球2000,"￥7,800","￥8,000代",27
2000-05-26,0,6,RPG,ビクターインタラクティブソフトウェア,ぬし釣り64～潮風にのって～,"￥6,800","￥7,000代",0
2000-06-23,4,3,RAC,任天堂,エキサイトバイク64,"￥6,800","￥7,000代",11
2000-07-13,7,2,SPT,コナミ,がんばれ!ニッポン!オリンピック2000,"￥7,800","￥8,000代",0
2000-07-21,4,3,SPT,任天堂,マリオテニス64,"￥6,800","￥7,000代",110
2000-07-28,4,3,ACT+ADV,エポック社,ドラえもん3のび太の町SOS!,"￥6,800","￥7,000代",0
2000-08-11,2,8,ACT+RPG,任天堂,マリオストーリー,"￥6,800","￥7,000代",43
2000-09-15,0,6,SPT,アスミック・エース・エンタテインメント,WWFレッスルマニア2000,"￥8,800","￥9,000代",0
2000-09-27,8,7,RPG,チュンソフト,不思議ダンジョン風来のシレン2～鬼襲来シレン城～,"￥6,800","￥7,000代",28
2000-10-21,0,7,SHT,任天堂,パーフェクトダーク,"￥5,800","￥6,000代",10
2000-11-10,0,3,ACT,任天堂,カスタムロボV2,"￥6,800","￥7,000代",26
2000-11-21,0,7,SHT,任天堂,罪と罰～地球の継承者～,"￥5,800","￥6,000代",0
2000-11-22,0,7,ACT,カプコン,ロックマンDASH鋼の冒険心,"￥6,800","￥7,000代",0
2000-11-27,0,7,ACT,任天堂,バンジョーとカズーイの大冒険2,"￥6,800","￥7,000代",19
2000-11-30,0,5,OTO,コナミ,DanceDanceRevolutionディズニーダンシングミュージアム,"￥7,800","￥8,000代",0
2000-12-07,0,7,TAB,任天堂,マリオパーティ3,"￥5,800","￥6,000代",85
2000-12-14,0,9,ACT,任天堂,ポケモンスタジアム金・銀,"￥6,800","￥7,000代",114
2001-01-21,0,7,RAC,任天堂,ミッキーのレーシングチャレンジUSA,"￥6,800","￥7,000代",0
2001-03-29,0,3,SPT,コナミ,実況パワフルプロ野球Basic版2001,"￥6,800","￥7,000代",11
2001-04-06,0,2,SLG,カルチャーブレーン,ハムスター物語64,"￥6,480","￥6,500代",0
2001-04-14,1,3,ETC,任天堂,どうぶつの森,"￥5,800","￥6,000代",21
2001-08-10,0,7,SLG,メディアファクトリー,ダービースタリオン64,"￥6,800","￥7,000代",0
2001-12-20,0,2,ACT,ハドソン,ボンバーマン64,"￥5,800","￥6,000代",0
1999-12-11,9,10,ETC,ランドネットＤＤ,ペイントスタジオ,不明,不明,0
1999-12-11,9,10,ETC,ランドネットＤＤ,巨人のドシン1,不明,不明,0
2000-02-23,9,10,SLG,任天堂,シムシティ―64,不明,不明,0
2000-02-23,9,10,ETC,任天堂,タレントスタジオ,不明,不明,0
2000-04-21,9,10,ETC,任天堂,F-ZEROXエクスパンションキット,不明,不明,0
2000-05-02,9,10,SPT,メディアファクトリー,日本プロゴルフツアー64,"￥3,500","￥3,500代",0
2000-05-17,9,10,ETC,ランドネットDD,巨人のドシン解放戦線チビッコチッコ大集合,"￥3,333","￥3,500代",0
2000-08-29,9,10,ETC,ランドネットDD,ポリゴンスタジオ,"￥3,333","￥3,500代",0
@CsvOptions:,,,,,,,,
dataType=0,,,,,,,,
title=「NINTENDO64」ソフト一覧,,,,,,,,
dataReference=<ul><li><a target%3d'_blank' href%3d'http://pasofami.game.coocan.jp/game/game.htm'>各種ゲーム機 カセット・ソフトタイトルリスト@pasofami</a></li><li><a target%3d'_blank' href%3d'https://www.gavas.jp/user_data/nintendo64_game_ranking.php'>ニンテンドウ64歴代ソフト売上ランキング＠ピコピコ大百科</a></li><li>wikipedia</ul>,,,,,,,,
detailType=city,,,,,,,,
isMakeAutocompleteData=1,,,,,,,,
chartName[imagePath]=/img/game/maker,,,,,,,,
chartName[imageTooltip]=img,,,,,,,,
chartCity[imagePath]=/img/game/n64,,,,,,,,
chartCity[imageTooltip]=all,,,,,,,,
chartCity[orderYmd]=1,,,,,,,,
chartCity[orderUI]=1,,,,,,,,
chartDate[elasticY]=0,,,,,,,,
chartDate[width]=1000,,,,,,,,
chartDate[format]=YYYY,,,,,,,,
"chartAge[unit]=[""不明"",""64M"",""96M"",""128M"",""192M"",""196M"",""224M"",""256M"",""320M"",""512M"",""💾64MB""]",,,,,,,,
"chartSex[unit]=[""不明"",""CP"",""EEP1"",""EEP1+CP"",""EEP2"",""EEP2+CP"",""FLASH"",""SRAM"",""SRAM+CP"",""💾64DD""]",,,,,,,,
editUrl=https://docs.google.com/spreadsheets/d/17GLwimysInib7t18Bgj3OmpH9ApflEP9i_61m4IMVJI
